measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1993,3.129046870513589,3.2777552380827375,2.9922987858130456
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1993,1.1112972184275864,1.1529606488643742,1.0683585479721267
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1993,2.097880132220166,2.1907445199367976,2.0166267242151017
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1990,2.5676706495494495,2.7012033086758147,2.451929266866837
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1990,0.9037643826734434,0.9379554488527826,0.8697146708436874
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1990,1.7161122550860617,1.7936134547870084,1.6465399079311784
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1991,2.676235959279912,2.8095351834683693,2.554041670977536
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1991,0.9514564871892455,0.9886249642793571,0.9155073662729192
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1991,1.7939219818009873,1.8708585230835373,1.7180411155815074
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1992,2.87054893657394,3.006641872632447,2.7471879653061064
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1992,1.007859583761034,1.0474650264992749,0.9684410918160242
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1992,1.918149214893739,2.001049088806116,1.843361499941349
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1994,3.3424471369493816,3.4945119306487094,3.198889734933818
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1994,1.2085258602316893,1.2568091581803627,1.1620648280819772
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1994,2.2524735046518094,2.3476271124236487,2.1633589252209484
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1995,3.562769641432986,3.7199913732156547,3.420973743207024
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1995,1.290770172809833,1.3404922759381348,1.2410426763217477
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1995,2.402897172400631,2.497116078472579,2.3137702938225098
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1997,4.130589166707488,4.3015499829266854,3.9687016870289624
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1997,1.5368704203256558,1.5922936694355256,1.4813921999862916
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1997,2.8080971881841057,2.905405341748186,2.7126840819549654
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1996,3.7818012352154002,3.950305177173724,3.6309667130679517
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1996,1.408325662539492,1.4622953219357755,1.3577711377512611
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1996,2.5708239409629132,2.6683163787482274,2.478406703230105
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1998,4.495502223638317,4.683419118430423,4.326000488964168
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1998,1.6956590277529409,1.7525388784187965,1.6339073930630337
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1998,3.0688562185070225,3.170859795349517,2.970503093391669
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,1999,4.948134978675614,5.14407467287851,4.766624878714186
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,1999,1.921914004599364,1.9826291626650725,1.8615448564756656
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1999,3.4071292522245886,3.513836349475504,3.3007972627947404
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2000,5.417007110230977,5.625209781551126,5.233101975125002
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,2000,2.1833179657347044,2.2514021476986845,2.1150137426253557
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2000,3.771359982755174,3.894008834855255,3.6604371170499728
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2001,5.967828617630663,6.204593252392591,5.731379198303738
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,2001,2.504102633954462,2.582950257971352,2.421108817526787
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2001,4.206058554373134,4.350097885133046,4.0680613030639075
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2002,6.7644060177885805,7.041488138653115,6.469133665146579
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,2002,2.900001595042663,2.997868890855596,2.7981790104424467
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2002,4.799740371633457,4.971700880251692,4.623893379307379
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2003,7.53714012558826,7.858057215634869,7.2080900636219125
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,2003,3.253170965126715,3.3677905789188505,3.134905896640739
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2003,5.3600006381893275,5.556123779816196,5.157440536882685
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2004,8.187945934960116,8.529136865189802,7.843698534237603
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,2004,3.5500090194469176,3.6870811978629154,3.423265968177227
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2004,5.83166386568077,6.048677032120753,5.608598014484541
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2005,8.821469481004304,9.210688018730892,8.406132415124924
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,2005,3.8903029868439334,4.043293644583818,3.7377220482460176
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2005,6.316830828158887,6.569406975362282,6.065267619891076
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2006,9.22338647780389,9.636724935550102,8.761048982672351
Deaths,United States of America,Female,All ages,Opioid use disorders,Rate,2006,4.226865699697699,4.4046782642641675,4.057025993053976
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2006,6.685984038712922,6.958809691117284,6.4191527938087845
Deaths,United States of America,Male,All ages,Opioid use disorders,Rate,2008,9.46866864777765,9.838031888786235,9.122199459779695
