Notes,Census Region,Census Region Code,Sex,Sex Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,source_file,year_start,year_end
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,1999,1999,"Jan., 1999",1999/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2000,2000,"Jul., 2000",2000/07,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2001,2001,"Aug., 2001",2001/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2002,2002,"Apr., 2002",2002/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2003,2003,"Mar., 2003",2003/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2003,2003,"Nov., 2003",2003/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2004,2004,"Nov., 2004",2004/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2005,2005,"Apr., 2005",2005/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2005,2005,"Aug., 2005",2005/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2005,2005,"Dec., 2005",2005/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2006,2006,"Jan., 2006",2006/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2006,2006,"Dec., 2006",2006/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2007,2007,"Apr., 2007",2007/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2007,2007,"Aug., 2007",2007/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2008,2008,"Apr., 2008",2008/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2008,2008,"Jul., 2008",2008/07,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2008,2008,"Aug., 2008",2008/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2009,2009,"Jun., 2009",2009/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2009,2009,"Dec., 2009",2009/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,< 1 year,1,2010,2010,"Nov., 2010",2010/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,1999,1999,"Aug., 1999",1999/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2001,2001,"Feb., 2001",2001/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2002,2002,"Mar., 2002",2002/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2003,2003,"Jun., 2003",2003/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2004,2004,"Jan., 2004",2004/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
