measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1990,1.7161122550860617,1.7936134547870084,1.6465399079311784
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1991,1.7939219818009873,1.8708585230835373,1.7180411155815074
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1992,1.918149214893739,2.001049088806116,1.843361499941349
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1993,2.097880132220166,2.1907445199367976,2.0166267242151017
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1994,2.2524735046518094,2.3476271124236487,2.1633589252209484
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1996,2.5708239409629132,2.6683163787482274,2.478406703230105
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1995,2.402897172400631,2.497116078472579,2.3137702938225098
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1997,2.8080971881841057,2.905405341748186,2.7126840819549654
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1998,3.0688562185070225,3.170859795349517,2.970503093391669
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,1999,3.4071292522245886,3.513836349475504,3.3007972627947404
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2000,3.771359982755174,3.894008834855255,3.6604371170499728
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2001,4.206058554373134,4.350097885133046,4.0680613030639075
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2002,4.799740371633457,4.971700880251692,4.623893379307379
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2004,5.83166386568077,6.048677032120753,5.608598014484541
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2003,5.3600006381893275,5.556123779816196,5.157440536882685
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2005,6.316830828158887,6.569406975362282,6.065267619891076
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2006,6.685984038712922,6.958809691117284,6.4191527938087845
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2007,6.90177271879395,7.162392886326952,6.652013538261321
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2008,7.11925903500894,7.375972498689982,6.8782491653280164
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2009,7.391684470881116,7.642542364093728,7.1501678292710364
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2010,7.708233737197556,8.049390743256488,7.43714654597463
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2011,8.199710732112036,8.579362543523288,7.921942122634833
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2012,8.666591618779698,9.113918997343278,8.339142198849515
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2013,9.328102464025353,9.832519753516605,8.945818418996017
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2014,10.219108388368007,10.783410623128171,9.783345527955255
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2017,13.618017854813237,14.187615547018066,13.120391544977585
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2016,12.84563478585982,13.390936240641294,12.417513178978352
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2015,11.403154399266745,11.980476118976453,10.955940120239132
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2018,13.937002686703151,14.460573326600048,13.3957508261953
Deaths,United States of America,Both,All ages,Opioid use disorders,Rate,2019,14.432847837965285,15.014081950259763,13.838870778362615
