measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,United States of America,Both,15-19 years,Opioid use disorders,Rate,1990,0.46704828348509375,0.5106493208841719,0.42778492149562564
Deaths,United States of America,Both,20-24 years,Opioid use disorders,Rate,1990,1.54938971284333,1.70513028824692,1.4148146168102271
Deaths,United States of America,Both,25-29 years,Opioid use disorders,Rate,1990,2.9873180986680956,3.327182616834086,2.7056837797403435
Deaths,United States of America,Both,30-34 years,Opioid use disorders,Rate,1990,3.8990844906567985,4.279580054105261,3.55926022309267
Deaths,United States of America,Both,35-39 years,Opioid use disorders,Rate,1990,4.262953134908838,4.684245952814872,3.8918968886564973
Deaths,United States of America,Both,40-44 years,Opioid use disorders,Rate,1990,3.390141218695019,3.7341517204100363,3.0834374837677934
Deaths,United States of America,Both,45-49 years,Opioid use disorders,Rate,1990,2.268830682601257,2.5199326667727284,2.06295327253458
Deaths,United States of America,Both,50-54 years,Opioid use disorders,Rate,1990,1.4771538359666965,1.624161818849464,1.3531371753366308
Deaths,United States of America,Both,55-59 years,Opioid use disorders,Rate,1990,1.0897769366944454,1.198165599638546,0.9987428511306863
Deaths,United States of America,Both,60-64 years,Opioid use disorders,Rate,1990,0.8519588609902904,0.9166374122233385,0.7907834835018844
Deaths,United States of America,Both,15-19 years,Opioid use disorders,Rate,1991,0.48665281767568624,0.5329769186156204,0.4461217900640384
Deaths,United States of America,Both,20-24 years,Opioid use disorders,Rate,1991,1.6099311922660688,1.7731650180607759,1.470337491154658
Deaths,United States of America,Both,25-29 years,Opioid use disorders,Rate,1991,2.9739546719105503,3.302983858422895,2.6885787814824833
Deaths,United States of America,Both,30-34 years,Opioid use disorders,Rate,1991,3.88740993849654,4.26615869507474,3.5488756567440585
Deaths,United States of America,Both,35-39 years,Opioid use disorders,Rate,1991,4.4239336546126244,4.862004983369971,4.037426637156428
Deaths,United States of America,Both,40-44 years,Opioid use disorders,Rate,1991,3.7666384881359782,4.170436071179551,3.423586678066289
Deaths,United States of America,Both,45-49 years,Opioid use disorders,Rate,1991,2.5407502787092158,2.818009024639174,2.301667159158656
Deaths,United States of America,Both,50-54 years,Opioid use disorders,Rate,1991,1.59766959273164,1.7573517622387504,1.4634539341074997
Deaths,United States of America,Both,55-59 years,Opioid use disorders,Rate,1991,1.1506863223858987,1.2607829474597116,1.0535446173833456
Deaths,United States of America,Both,60-64 years,Opioid use disorders,Rate,1991,0.8787894575902457,0.9475054451495919,0.8154354577630222
