rate,Column Labels,,,
Row Labels,Group A,Group B,Group C,Grand Total
1990,2.412342652,1.626554123,0.639582436,1.664896345
California,7.596907277,4.096154849,1.018835676,4.530916743
Hawaii,1.9733308,1.711141028,0.561556697,1.559881093
Kentucky,2.376318924,1.612246192,0.790242849,1.677067343
Nebraska,1.081414397,0.971100497,0.392772687,0.888529105
New Hampshire,1.99256991,1.828662312,0.897585447,1.691619218
North Dakota,0.784942747,0.784957738,0.283874182,0.684736529
Ohio,2.316405579,1.181003564,0.533478302,1.392119116
South Dakota,0.974763051,0.832426305,0.320475987,0.772737265
Tennessee,2.470688785,1.535428569,0.687914977,1.646503916
West Virginia,2.556085055,1.71242018,0.909087555,1.804853117
1991,2.432219957,1.736024898,0.659493819,1.7295772
California,7.173446534,4.352850848,1.040202605,4.536499905
Hawaii,2.090600716,1.793061669,0.565863576,1.636883765
Kentucky,2.449500577,1.756577969,0.824763955,1.778091949
Nebraska,1.152898377,1.018464818,0.397692326,0.934640388
New Hampshire,1.983164347,1.928165365,0.92616803,1.744265592
North Dakota,0.845123782,0.822935827,0.294718588,0.723948766
Ohio,2.304065877,1.298648282,0.548991672,1.450342238
South Dakota,1.029587703,0.892475065,0.331431206,0.821400085
Tennessee,2.540828665,1.632534626,0.707117805,1.719939474
West Virginia,2.752982988,1.864534506,0.95798843,1.949759835
1992,2.535118296,1.893647486,0.690105491,1.84538033
California,7.395444814,4.923376908,1.090183258,4.89835855
Hawaii,2.370332097,2.017884796,0.629327581,1.845907543
Kentucky,2.563191465,1.881888655,0.870048956,1.883911558
Nebraska,1.233591141,1.092537699,0.412427753,0.998831743
New Hampshire,1.978528779,2.019794318,0.937388564,1.790933505
North Dakota,0.919485236,0.859898771,0.311538778,0.768102712
Ohio,2.306825796,1.431717183,0.569153026,1.521736936
South Dakota,1.123798576,1.002278283,0.356684358,0.909615586
Tennessee,2.608214392,1.780436889,0.738200204,1.820322803
West Virginia,2.851770665,1.926661355,0.986102436,2.016082364
1993,2.691370783,2.085782322,0.732656629,1.996833722
California,7.519269685,5.527915415,1.145848798,5.248908372
Hawaii,2.427232634,2.265559246,0.677705565,1.996490526
Kentucky,2.870923351,2.050027253,0.945544197,2.075399471
Nebraska,1.350657811,1.185538367,0.443417194,1.086649966
New Hampshire,2.0920987,2.139071364,0.965809638,1.89032722
North Dakota,0.967942881,0.927543499,0.338314317,0.821817477
Ohio,2.458244659,1.58509529,0.564877248,1.642996492
South Dakota,1.226258829,1.118962616,0.383763366,1.00411163
Tennessee,2.959921211,2.01661885,0.815809405,2.059447669
West Virginia,3.041158067,2.041491319,1.045476558,2.142188392
1994,2.846879546,2.275462868,0.782887048,2.148372707
California,7.308066793,5.933251695,1.201308447,5.399307575
Hawaii,2.918696444,2.744229994,0.781217407,2.403967412
Kentucky,3.112806475,2.202076965,0.978215883,2.230523602
Nebraska,1.480459704,1.282650465,0.490402695,1.183543683
New Hampshire,2.275185174,2.254418408,1.002363622,2.010237481
North Dakota,1.059958283,1.013001818,0.377342921,0.899956978
Ohio,2.654420207,1.836118113,0.605674669,1.835520052
South Dakota,1.370784784,1.198132957,0.413884009,1.093078715
Tennessee,3.146716915,2.189864943,0.885289201,2.216005386
West Virginia,3.141700681,2.100883318,1.093171627,2.211586189
1995,2.97577496,2.474373922,0.832517514,2.296422952
California,7.109854481,6.325815418,1.269843195,5.549832692
Hawaii,3.118593957,3.006775599,0.835661018,2.60609819
Kentucky,3.30802285,2.369876588,1.000442847,2.377433718
Nebraska,1.544116811,1.367895876,0.519398433,1.251062668
New Hampshire,2.568027738,2.4644672,1.084805411,2.219603004
North Dakota,1.153873385,1.089506831,0.403760767,0.971667584
Ohio,2.893097965,2.136688777,0.641524893,2.064578757
South Dakota,1.504696909,1.288940634,0.44309796,1.184498982
Tennessee,3.444132621,2.514257859,0.978694081,2.486107532
West Virginia,3.11333288,2.179514441,1.147946537,2.253346392
1996,3.18843418,2.701849566,0.8912344,2.485701917
California,7.147005882,6.759101267,1.368619093,5.797376216
Hawaii,3.328219247,3.233810631,0.875210174,2.790413124
Kentucky,3.735782274,2.677305845,1.103365632,2.680060731
Nebraska,1.616593469,1.52777968,0.572445912,1.363357063
New Hampshire,2.813144995,2.635111979,1.119142391,2.385327966
North Dakota,1.27741647,1.180424901,0.441713205,1.061780032
Ohio,3.100088786,2.349192627,0.654757085,2.235574366
South Dakota,1.661866036,1.37891116,0.496456168,1.287306624
Tennessee,3.786201999,2.877203486,1.054491347,2.785360612
West Virginia,3.418022648,2.399654081,1.226142994,2.470462434
1997,3.484078685,2.970923481,0.963854461,2.723456238
California,7.005199783,7.128400338,1.450161872,5.955792478
Hawaii,3.443732985,3.486563473,0.94249915,2.964901462
Kentucky,4.211437893,2.977494371,1.165785336,2.98533562
Nebraska,1.781473987,1.69270307,0.617983945,1.50439052
New Hampshire,3.386563168,2.998472581,1.218585959,2.758922433
North Dakota,1.457818074,1.275025399,0.492742217,1.173406565
Ohio,3.542280694,2.63126824,0.67524088,2.513366504
South Dakota,1.81037772,1.463751287,0.548828086,1.384754577
Tennessee,4.14119826,3.231297766,1.194736737,3.096955708
West Virginia,4.060704286,2.824258287,1.331980432,2.896736516
1998,3.864330631,3.337845034,1.085219815,3.045265669
California,6.980467178,7.700567322,1.584066831,6.261237181
Hawaii,3.638890275,3.723148194,1.045425118,3.162326203
Kentucky,5.063215683,3.595168662,1.351277052,3.586804446
Nebraska,1.942266572,1.850633469,0.674747018,1.64294611
New Hampshire,4.005377584,3.474175149,1.397282407,3.218157331
North Dakota,1.60007083,1.402973687,0.536433888,1.28879487
Ohio,4.01476857,3.091829619,0.77840128,2.906025636
South Dakota,1.947216133,1.642814102,0.609067548,1.5273854
Tennessee,4.778458819,3.695797077,1.352680033,3.551972191
West Virginia,4.672574664,3.201343057,1.522816975,3.307007323
1999,4.274426655,3.813490873,1.212633983,3.431600229
California,6.653291011,7.938223952,1.703360102,6.3057713
Hawaii,3.759306455,4.073886376,1.14541821,3.393818767
Kentucky,6.22477352,4.418495882,1.579279201,4.392535837
Nebraska,2.137666325,2.009069187,0.763502625,1.798535016
New Hampshire,4.491542108,3.899356825,1.518728171,3.600886679
North Dakota,1.720916586,1.552656202,0.582819227,1.409166922
Ohio,4.703755284,3.854487726,0.931328491,3.524636147
South Dakota,2.107993031,1.827873896,0.672494704,1.680833798
Tennessee,5.431070545,4.513895316,1.526901106,4.191649042
West Virginia,5.513951688,4.046963364,1.702507994,4.018168787
2000,4.817572359,4.342950662,1.364301201,3.889607279
California,6.213866313,7.905053247,1.770192848,6.170725087
Hawaii,3.896013234,4.473346529,1.220940971,3.649665429
Kentucky,7.683147684,5.471304906,1.831800783,5.406956915
Nebraska,2.284298349,2.137800527,0.815463901,1.917282548
New Hampshire,4.919654623,4.367815105,1.788029891,4.017409917
North Dakota,1.851415429,1.681521012,0.629430406,1.522071216
Ohio,5.60188133,4.761000891,1.113445202,4.283753885
South Dakota,2.321401948,1.935278471,0.712673171,1.806594454
Tennessee,6.326291069,5.390296385,1.752685032,4.94357252
West Virginia,7.077753611,5.306089548,2.008349799,5.178040817
2001,5.638272747,5.134891931,1.55360782,4.569649354
California,5.99063277,8.163995798,1.93321698,6.265831126
Hawaii,4.164261716,5.153602118,1.377491164,4.101577807
Kentucky,9.479116488,7.116775855,2.12977051,6.828076976
Nebraska,2.586340016,2.455616656,0.900277638,2.18376586
New Hampshire,5.820613735,5.168181184,2.017163329,4.733707378
North Dakota,2.046663438,1.83977917,0.696409275,1.673170471
Ohio,6.743905327,5.933693887,1.447089989,5.279436539
South Dakota,2.513164485,2.126108595,0.776186267,1.972240897
Tennessee,7.651132354,6.455931814,1.99745986,5.922797585
West Virginia,9.386897146,6.935234236,2.261013189,6.7358889
2002,6.68185178,6.244377544,1.799116181,5.486567542
California,6.776946469,9.734133251,2.380579732,7.376266512
Hawaii,4.511790857,5.655542636,1.502689188,4.481846413
Kentucky,11.65033846,9.022127787,2.566861954,8.519537822
Nebraska,2.962937949,2.824372614,1.020477237,2.505163139
New Hampshire,7.218121978,6.319926789,2.165386315,5.758477251
North Dakota,2.253641813,2.050883283,0.782193097,1.857972805
Ohio,7.963180822,7.371797707,1.771939376,6.429240975
South Dakota,2.835606979,2.391625397,0.893234055,2.225141603
Tennessee,8.954924275,7.841024914,2.28642174,7.064274087
West Virginia,11.6910282,9.232341063,2.621379116,8.647754815
2003,7.753514024,7.453646104,2.031100343,6.459097328
California,7.343567628,11.26799932,2.819122776,8.400894504
Hawaii,4.876297405,6.279557829,1.668166877,4.936301511
Kentucky,14.06393036,11.34134999,2.896478995,10.4691499
Nebraska,3.167536663,3.002754061,1.08923389,2.669484807
New Hampshire,8.310444244,7.495681278,2.34839941,6.710653794
North Dakota,2.453981441,2.266274338,0.862140536,2.041759708
Ohio,8.881626288,8.682184281,1.9999006,7.405560147
South Dakota,3.194741467,2.688095536,0.987213599,2.499912928
Tennessee,10.47495608,9.737290065,2.631051341,8.537342125
West Virginia,14.76805866,11.77527434,3.009295409,10.91991385
2004,8.651259696,8.505804517,2.273565861,7.302993339
California,7.60390949,12.15131556,3.126049198,8.982040467
Hawaii,5.534201425,7.038143147,1.934316848,5.566195371
Kentucky,16.02562249,13.10114045,3.293450895,12.01694715
Nebraska,3.30012452,3.179460676,1.179785504,2.815724795
New Hampshire,9.0292281,8.31331966,2.507648011,7.366957862
North Dakota,2.710180168,2.368651738,0.896905518,2.176761023
Ohio,10.39961373,10.47432594,2.426005889,8.842248266
South Dakota,3.544579458,2.930672232,1.060306976,2.740771348
Tennessee,11.59843889,11.51470085,2.990728413,9.835027773
West Virginia,16.7666987,13.98631491,3.320461361,12.68725934
2005,9.642834345,9.378259459,2.476985027,8.077377038
California,7.835639397,12.74770131,3.49832638,9.424207752
Hawaii,6.124288788,7.49567705,2.102621262,6.005649414
Kentucky,17.95428724,14.64821724,3.594113184,13.42921743
Nebraska,3.517922608,3.536729051,1.298071832,3.083355674
New Hampshire,10.27401447,9.608636011,2.798674911,8.446257328
North Dakota,2.991236216,2.566911929,0.939860284,2.368798886
Ohio,12.05758443,11.89027175,2.727795921,10.10797039
South Dakota,3.76745347,3.142185191,1.160817564,2.933492149
Tennessee,12.95588345,12.90361806,3.238298321,10.98623373
West Virginia,18.95003338,15.24264699,3.411270612,13.98858763
2006,10.68515117,10.04363723,2.635759669,8.754515899
California,8.021477462,12.96449528,3.755364738,9.639763827
Hawaii,6.60241202,7.866791432,2.232503633,6.360620049
Kentucky,20.32304278,15.64693619,3.762990012,14.67297893
Nebraska,3.775341704,3.976540769,1.425213417,3.405915579
New Hampshire,10.76562613,9.792453574,2.801862536,8.686287132
North Dakota,3.114141949,2.789407247,1.044245909,2.53779539
Ohio,13.4275709,12.86308625,2.935832474,11.04698089
South Dakota,3.846286843,3.350573724,1.223285489,3.073830013
Tennessee,14.04998636,13.66825341,3.531626174,11.75544785
West Virginia,22.92562553,17.51783443,3.644672309,16.36553934
2007,11.56417327,10.56049258,2.776569289,9.304812129
California,8.108761858,12.89428967,4.062339495,9.692241292
Hawaii,6.914736419,8.126657953,2.367500017,6.611249905
Kentucky,21.75436685,16.4800322,3.845235839,15.53537332
Nebraska,4.04606075,4.241644506,1.45906214,3.626452906
New Hampshire,11.4064453,10.20375383,2.959358081,9.11568212
North Dakota,3.364153555,2.978165731,1.134810693,2.72529107
Ohio,14.91225978,13.82860393,3.184071804,12.02479426
South Dakota,3.940392295,3.495191759,1.264960743,3.182705716
Tennessee,14.7552065,14.22176402,3.694487468,12.27634145
West Virginia,26.43934943,19.13482219,3.793866611,18.25798924
2008,12.27907116,10.9870722,2.860170298,9.749291509
California,8.093110325,12.6518565,4.245273391,9.602916027
Hawaii,6.869340612,8.010938313,2.393621836,6.544995707
Kentucky,22.98062517,17.61197131,3.890971667,16.47836754
Nebraska,4.461447205,4.651919173,1.526614732,3.969716695
New Hampshire,12.0597845,10.21646437,2.927691571,9.31170585
North Dakota,3.682603196,3.230561558,1.194531909,2.958968119
Ohio,16.69606675,14.86550243,3.393665463,13.12030433
South Dakota,4.223454648,3.725482466,1.361916933,3.402161014
Tennessee,15.4626739,14.82135203,3.781495287,12.80577724
West Virginia,28.26160527,20.08467389,3.885920188,19.29800256
2009,13.474201,11.5583091,2.997844925,10.42098384
California,8.408059742,12.81025331,4.534925243,9.834529624
Hawaii,7.183744542,8.404092626,2.577956943,6.872761064
Kentucky,26.42824059,19.67630163,4.137178509,18.59405869
Nebraska,4.70433793,4.888262424,1.589070497,4.17324669
New Hampshire,13.87841406,10.5776337,2.956700546,10.04368118
North Dakota,3.986891046,3.428094234,1.250132327,3.160140896
Ohio,18.25177078,15.25363545,3.405146708,13.7833783
South Dakota,4.612017535,3.915476514,1.474068357,3.636157189
Tennessee,17.19803635,15.97430109,4.043664302,13.95529431
West Virginia,30.09049738,20.65504007,4.009605821,20.15659041
2010,15.24453096,12.4374342,3.218116971,11.43569978
California,8.378130356,12.33121867,4.715143882,9.622077216
Hawaii,7.476791926,8.602627494,2.680739195,7.080499164
Kentucky,30.69672106,21.67346674,4.58461168,20.96267202
Nebraska,5.015896185,5.108306574,1.64219577,4.387361296
New Hampshire,16.13045013,11.09606056,2.987372596,10.98463984
North Dakota,4.26515852,3.692736349,1.339631699,3.39384207
Ohio,20.56582073,16.81745314,3.802865738,15.33904593
South Dakota,5.079333202,4.162761115,1.496854209,3.90455136
Tennessee,19.20903874,17.32632102,4.396372219,15.30514657
West Virginia,35.62796877,23.5633903,4.535382721,23.37716232
2011,17.29131511,13.63925987,3.451563243,12.69733712
California,8.833348001,12.52369103,5.021068618,9.916063641
Hawaii,7.66449836,8.990800635,2.740712874,7.3428924
Kentucky,34.53186174,23.60847421,4.898539847,23.14350359
Nebraska,5.51011606,5.479385876,1.737533227,4.740234401
New Hampshire,18.00643247,12.11483184,3.159797731,12.09130521
North Dakota,4.71776425,3.98642105,1.414089032,3.691357606
Ohio,23.68329737,18.71444676,4.267998553,17.3158123
South Dakota,5.630675419,4.465914891,1.473016637,4.216763399
Tennessee,20.88782657,18.44055271,4.718206181,16.43026556
West Virginia,43.44733089,28.06807968,5.084669726,28.08517305
2012,18.9538118,14.64616154,3.729785632,13.75518144
California,9.272217252,12.57693376,5.274587687,10.12504959
Hawaii,7.766342056,9.158014434,2.804541266,7.469818087
Kentucky,37.02753045,26.02294444,5.537334066,25.22719817
Nebraska,6.093058044,5.89045634,1.869833928,5.147112369
New Hampshire,20.24080407,12.96313083,3.319463359,13.21769931
North Dakota,5.467008722,4.470801675,1.499378262,4.175379106
Ohio,27.11016687,20.29609194,4.649696578,19.21103535
South Dakota,6.113922661,4.834092464,1.555978177,4.562418666
Tennessee,22.59645187,19.86223297,5.256598895,17.76137182
West Virginia,47.85061604,30.38691656,5.530444103,30.65473191
2013,20.98198074,15.89544848,4.07537462,15.05739339
California,9.88894519,12.75461496,5.585923444,10.46117572
Hawaii,8.558050061,9.466770737,2.913496226,7.883499632
Kentucky,38.15179415,27.10954697,5.878906742,26.17609308
Nebraska,6.639297924,6.220795292,2.009887958,5.504164615
New Hampshire,25.14781104,14.89209256,3.809467965,15.75228318
North Dakota,6.397648982,5.139083814,1.615563312,4.811949264
Ohio,31.73680146,22.78972559,5.148250142,21.94555326
South Dakota,6.590276986,5.480649234,1.701892068,5.057786126
Tennessee,24.80068585,21.53715433,5.659929008,19.34076872
West Virginia,51.90849574,33.56405134,6.430429329,33.64066026
2014,24.45515076,17.95124274,4.568241432,17.22581488
California,10.6412295,12.9593003,5.906508089,10.85332062
Hawaii,9.113256203,10.05152469,3.062267328,8.372192671
Kentucky,42.33025459,30.97703862,6.731500822,29.53389585
Nebraska,7.837768769,6.726686074,2.149166609,6.14450699
New Hampshire,34.90577649,18.05799005,4.361264845,20.37298094
North Dakota,7.727141653,5.906513062,1.749945425,5.621388112
Ohio,38.45895078,25.42517174,5.882492627,25.42676963
South Dakota,7.676847006,6.244786084,1.854804499,5.796408044
Tennessee,28.88095991,24.24592666,6.353164369,22.05788417
West Virginia,56.97932267,38.91749014,7.631299705,38.07880181
2015,28.79209464,20.392651,5.148284632,19.86361082
California,11.81983354,13.30542828,6.195090473,11.4376823
Hawaii,10.47593648,10.50352213,3.258371277,9.046216266
Kentucky,48.83134487,35.33158458,7.71631809,33.85845937
Nebraska,8.589666122,7.311705642,2.280175232,6.688787704
New Hampshire,45.19948228,21.57472726,4.878133612,25.32283504
North Dakota,9.457220323,6.820779974,1.979450541,6.643446192
Ohio,47.4735471,29.71145277,6.788356974,30.45546191
South Dakota,8.987609971,6.940034633,2.117367329,6.589773774
Tennessee,33.17556437,26.63006815,7.199736533,24.70765069
West Virginia,63.91074134,45.79720655,9.06984626,43.88579493
2016,33.73083463,23.31396925,5.826389306,22.94151287
California,12.98049567,13.38023483,6.385986424,11.8614634
Hawaii,11.29192252,11.01831514,3.43260246,9.583254815
Kentucky,54.32377215,40.20139312,8.927170265,38.18326226
Nebraska,9.085796618,7.494652228,2.351820297,6.943429159
New Hampshire,57.20193464,26.46009814,5.776620266,31.54595352
North Dakota,11.38365886,7.812041572,2.213993669,7.763917178
Ohio,56.93402821,34.56494006,7.903234418,35.94332538
South Dakota,10.62192122,7.663489438,2.430420929,7.50440527
