measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Alaska,Male,All ages,Opioid use disorders,Rate,1990,2.5448594356502268,2.99028231905795,2.1484185808338516
Deaths,Alaska,Female,All ages,Opioid use disorders,Rate,1990,1.1619332456222344,1.3409745250375167,1.013434051650932
Deaths,Alaska,Both,All ages,Opioid use disorders,Rate,1990,1.8914520234232617,2.196439643808374,1.6291927627178941
Deaths,North Carolina,Male,All ages,Opioid use disorders,Rate,1990,1.5574676509761953,1.7745344244927743,1.3490090288553733
Deaths,North Carolina,Female,All ages,Opioid use disorders,Rate,1990,0.6999255195480304,0.7798682920776852,0.6288661242955732
Deaths,North Carolina,Both,All ages,Opioid use disorders,Rate,1990,1.1167183008372341,1.25688314300505,0.9858441001044483
Deaths,Kentucky,Male,All ages,Opioid use disorders,Rate,1990,1.6632150007477282,1.9069497839498883,1.4290650978230064
Deaths,Kentucky,Female,All ages,Opioid use disorders,Rate,1990,0.9344272438146677,1.0449893729283612,0.8307578488383713
Deaths,Kentucky,Both,All ages,Opioid use disorders,Rate,1990,1.2880583460142105,1.4468272604646357,1.1261913682314124
Deaths,Wisconsin,Male,All ages,Opioid use disorders,Rate,1990,1.2439733063227334,1.4234190410669145,1.0892535532689245
Deaths,Wisconsin,Female,All ages,Opioid use disorders,Rate,1990,0.6554863679562232,0.7361023388459009,0.5804549914508736
Deaths,Wisconsin,Both,All ages,Opioid use disorders,Rate,1990,0.9438770926627393,1.0640703773037692,0.8405831702028269
Deaths,California,Male,All ages,Opioid use disorders,Rate,1990,5.49495814111001,6.243540037424718,4.864140565071661
Deaths,California,Female,All ages,Opioid use disorders,Rate,1990,1.5618862839479786,1.7430186080641787,1.400852360099387
Deaths,California,Both,All ages,Opioid use disorders,Rate,1990,3.5330285204025325,3.9630482627110517,3.1542530411056404
Deaths,Maryland,Male,All ages,Opioid use disorders,Rate,1990,0.7442615536460973,0.8564224194330299,0.632179087463173
Deaths,Maryland,Female,All ages,Opioid use disorders,Rate,1990,0.36029824031252294,0.40921691462433313,0.3173847120033849
Deaths,Maryland,Both,All ages,Opioid use disorders,Rate,1990,0.5467411077974969,0.6192345517029875,0.47311853015455396
Deaths,Alabama,Male,All ages,Opioid use disorders,Rate,1990,1.1003378401936796,1.260762081194951,0.9614611703214468
Deaths,Alabama,Female,All ages,Opioid use disorders,Rate,1990,0.6880230335524806,0.7704607427176797,0.616352437384537
Deaths,Alabama,Both,All ages,Opioid use disorders,Rate,1990,0.8859001414788685,0.9941985671402678,0.7878019508218163
Deaths,New York,Male,All ages,Opioid use disorders,Rate,1990,4.424793095001012,5.026906680888871,3.821330895400629
Deaths,New York,Female,All ages,Opioid use disorders,Rate,1990,1.124355036414991,1.2614423288023897,0.99661749032689
Deaths,New York,Both,All ages,Opioid use disorders,Rate,1990,2.708756472648019,3.050367688433252,2.377890461280461
Deaths,Oklahoma,Male,All ages,Opioid use disorders,Rate,1990,1.2085470501665618,1.385871472208661,1.0410260623516716
Deaths,Oklahoma,Female,All ages,Opioid use disorders,Rate,1990,0.8236678303629741,0.9116578535010408,0.7397543661638397
Deaths,Oklahoma,Both,All ages,Opioid use disorders,Rate,1990,1.0113124616474574,1.1357220913688508,0.8968351680856428
Deaths,Minnesota,Male,All ages,Opioid use disorders,Rate,1990,0.9736891422075458,1.1060381253244858,0.8574290975038888
Deaths,Minnesota,Female,All ages,Opioid use disorders,Rate,1990,0.4669435763613691,0.5225416060924138,0.4214438581826417
Deaths,Minnesota,Both,All ages,Opioid use disorders,Rate,1990,0.7158354903245016,0.8006242101767197,0.6421957379536986
Deaths,Kansas,Male,All ages,Opioid use disorders,Rate,1990,1.1270511681753583,1.2831917100911105,0.9907071442966913
Deaths,Kansas,Female,All ages,Opioid use disorders,Rate,1990,0.5926079201052281,0.6656727955509237,0.5229778810276856
Deaths,Kansas,Both,All ages,Opioid use disorders,Rate,1990,0.8549468420853057,0.9640722591377889,0.7650458621030333
Deaths,West Virginia,Male,All ages,Opioid use disorders,Rate,1990,1.7483733871733926,1.9840189211640875,1.53466491960118
Deaths,West Virginia,Female,All ages,Opioid use disorders,Rate,1990,1.013638094760711,1.1341323285805824,0.9041672449950857
Deaths,West Virginia,Both,All ages,Opioid use disorders,Rate,1990,1.3670257248954147,1.5184300328145643,1.2275772029806578
Deaths,North Dakota,Male,All ages,Opioid use disorders,Rate,1990,0.63145974017684,0.7206169211581118,0.549917791213385
Deaths,North Dakota,Female,All ages,Opioid use disorders,Rate,1990,0.31276329179915696,0.35122024383146355,0.27586449892110054
Deaths,North Dakota,Both,All ages,Opioid use disorders,Rate,1990,0.4717624548707352,0.5292277990660348,0.41822441148868045
Deaths,Ohio,Male,All ages,Opioid use disorders,Rate,1990,1.4838767092369913,1.699585879972886,1.2739842734421734
Deaths,Ohio,Female,All ages,Opioid use disorders,Rate,1990,0.7750117728012746,0.8527196381413099,0.696784074233133
Deaths,Ohio,Both,All ages,Opioid use disorders,Rate,1990,1.1170578667561781,1.255797536545862,0.9800985070900228
Deaths,Delaware,Male,All ages,Opioid use disorders,Rate,1990,2.978439769209119,3.439305371734087,2.579439657151642
Deaths,Delaware,Female,All ages,Opioid use disorders,Rate,1990,1.0406386855847887,1.1652137630301453,0.9222550350572691
Deaths,Delaware,Both,All ages,Opioid use disorders,Rate,1990,1.9812895010341132,2.2441936293121723,1.742463978043012
Deaths,Arkansas,Male,All ages,Opioid use disorders,Rate,1990,1.0201275024240313,1.1709166464160021,0.8821806919122457
Deaths,Arkansas,Female,All ages,Opioid use disorders,Rate,1990,0.5526515951500737,0.6272583793544225,0.48988960878745796
Deaths,Arkansas,Both,All ages,Opioid use disorders,Rate,1990,0.7783568201213754,0.8770780271609958,0.6900279418841437
Deaths,Washington,Male,All ages,Opioid use disorders,Rate,1990,2.7176321510635413,3.0932141545800853,2.345391359319559
Deaths,Washington,Female,All ages,Opioid use disorders,Rate,1990,1.0495917298501345,1.1708621067578262,0.939883808728521
Deaths,Washington,Both,All ages,Opioid use disorders,Rate,1990,1.878269753318229,2.114628986015815,1.6561179392841607
Deaths,Maine,Male,All ages,Opioid use disorders,Rate,1990,1.711175002479128,1.9765505840158715,1.472072057682243
Deaths,Maine,Female,All ages,Opioid use disorders,Rate,1990,0.7785195683036683,0.8732292051349863,0.6891490062422659
Deaths,Maine,Both,All ages,Opioid use disorders,Rate,1990,1.2332333118342587,1.390101945642637,1.0870150436033261
Deaths,Colorado,Male,All ages,Opioid use disorders,Rate,1990,2.044507006823367,2.371202707203251,1.7594119181329382
