"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2024","AK","Alaska","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","2,711","53.9","51.8","56.0","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","02","BO1","CAT1","DRNKANY6","RESP046","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","2,340","46.1","44.0","48.2","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","02","BO1","CAT1","DRNKANY6","RESP054","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","Zero days when mental health not good","Overall","Overall","3,237","54.9","52.9","57.0","3,607","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","02","BO1","CAT1","_MENT14D","RESP222","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","1-13 days when mental health not good","Overall","Overall","1,455","29.4","27.5","31.3","3,608","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","02","BO1","CAT1","_MENT14D","RESP223","    (64.84507995700051, -147.72205903599973)"
"2024","AK","Alaska","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","14+ days when mental health not good","Overall","Overall","701","15.7","14.1","17.3","3,609","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","02","BO1","CAT1","_MENT14D","RESP224","    (64.84507995700051, -147.72205903599973)"
"2024","AL","Alabama","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","1,997","45.4","43.5","47.2","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","01","BO1","CAT1","DRNKANY6","RESP046","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","2,791","54.7","52.8","56.5","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","01","BO1","CAT1","DRNKANY6","RESP054","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","Zero days when mental health not good","Overall","Overall","3,078","56.2","54.4","58.0","3,607","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","01","BO1","CAT1","_MENT14D","RESP222","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","1-13 days when mental health not good","Overall","Overall","1,201","25.8","24.2","27.4","3,608","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","01","BO1","CAT1","_MENT14D","RESP223","    (32.84057112200048, -86.63186076199969)"
"2024","AL","Alabama","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","14+ days when mental health not good","Overall","Overall","755","18.0","16.5","19.5","3,609","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","01","BO1","CAT1","_MENT14D","RESP224","    (32.84057112200048, -86.63186076199969)"
