Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,18-24,Age Group,54,NA,NA,NA,165,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,AGE01,CAT3,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,18-24,Age Group,142,NA,NA,NA,159,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,AGE01,CAT3,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,25-34,Age Group,98,20.3,15.1,25.5,166,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE02,CAT3,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,25-34,Age Group,315,79.7,74.5,84.9,160,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE02,CAT3,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,35-44,Age Group,105,14.9,11.3,18.5,167,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE03,CAT3,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,35-44,Age Group,473,85.1,81.5,88.7,161,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE03,CAT3,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,45-54,Age Group,89,17.5,12.3,22.7,168,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE04,CAT3,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,45-54,Age Group,396,82.5,77.3,87.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE04,CAT3,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,55-64,Age Group,40,17.7,9.8,25.6,169,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE05,CAT3,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,55-64,Age Group,173,82.3,74.4,90.2,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE05,CAT3,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,65+,Age Group,12,6.6,2.3,10.9,170,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE09,CAT3,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,65+,Age Group,179,93.4,89.1,97.7,164,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,AGE09,CAT3,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,College graduate,Education Attained,64,9.5,6.4,12.6,186,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,EDUCA4,CAT5,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,College graduate,Education Attained,554,90.5,87.4,93.6,182,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,EDUCA4,CAT5,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,H.S. or G.E.D.,Education Attained,178,24.5,19.4,29.6,184,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,EDUCA2,CAT5,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,H.S. or G.E.D.,Education Attained,497,75.5,70.4,80.6,180,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,EDUCA2,CAT5,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
