Year,Census_Division,rate_health_care_coverage,rate_alochol_consum
2004,East North Central,86.92072412491733,58.18942128118713
2004,West North Central,88.70705584350374,57.23199186316454
2004,Middle Atlantic,86.09836718755409,58.753492161898244
2004,New England,89.74368095111113,65.91209498815704
2004,East South Central,84.68223016208965,35.5892659925071
2004,South Atlantic,82.93826779777446,51.18152469151022
2004,West South Central,74.9818967599623,49.09440001005781
2004,Mountain,82.16433001702795,54.14253278845773
2004,Pacific,82.97633540478311,56.89995926293268
2005,East North Central,86.685898781729,56.66724966797423
2005,West North Central,88.93091205107936,55.91340489561031
2005,Middle Atlantic,87.0211928699415,57.03751773214606
2005,New England,89.58901952978276,64.57698626639946
2005,East South Central,83.6572129441147,36.368794196697245
2005,South Atlantic,83.13199996568127,50.87740789037885
2005,West South Central,73.87768987765959,47.3690345069704
2005,Mountain,80.90961781917282,53.775143537094436
2005,Pacific,83.34216998815648,56.871543459630786
2006,East North Central,86.63605596365004,56.88665933202739
2006,West North Central,88.4729771847726,54.46643570354977
2006,Middle Atlantic,87.27566661121746,56.504455788420024
2006,New England,90.3282379425917,62.75144367970514
2006,East South Central,83.88913036164182,33.318033635209375
2006,South Atlantic,83.84629278231442,49.558744940081986
2006,West South Central,75.93031307709788,46.80262818238606
2006,Mountain,81.28866529764298,51.69793552535108
2006,Pacific,83.23497045970649,55.04873435452354
2007,East North Central,87.11530700075076,57.49085955061046
2007,West North Central,88.64998128160816,55.29807830658522
2007,Middle Atlantic,87.18957784574496,56.31779042053086
2007,New England,91.4530675139257,64.42034265844214
2007,East South Central,84.26894215151043,34.75612687072994
2007,South Atlantic,83.59888550660278,51.0417767705337
2007,West South Central,75.98257707502174,46.7979113829465
2007,Mountain,81.72525646534622,51.94249892551499
2007,Pacific,84.66902275164304,55.590481125189214
2008,East North Central,87.06342144614794,56.74243663820752
2008,West North Central,88.70706707546597,56.42075068075754
2008,Middle Atlantic,87.67554586018743,55.057065521503695
2008,New England,92.72830092320766,63.73494257776129
2008,East South Central,83.62083759986946,36.63155888966108
2008,South Atlantic,84.43642707750377,49.141218253329825
2008,West South Central,76.45582150320895,46.94695023692006
2008,Mountain,82.36756817215077,51.742819213884836
2008,Pacific,83.48041079855143,53.461115116946736
2009,East North Central,86.69018564206434,55.57850892593629
2009,West North Central,88.92252152474772,55.623375227174456
2009,Middle Atlantic,88.13801785525854,55.81341876805624
2009,New England,91.92769588044675,63.80302621256684
2009,East South Central,83.68041782553415,33.395991127175854
2009,South Atlantic,83.46373710489893,48.90815791051851
2009,West South Central,76.48866277696183,49.168322828802125
2009,Mountain,83.2734001180857,50.56967981704399
2009,Pacific,83.52498783551484,54.16175013222222
2010,East North Central,86.8329240960298,56.09305073601386
2010,West North Central,88.00176827118605,54.35429039801014
2010,Middle Atlantic,88.54742030918041,56.52699285591439
2010,New England,92.23599221819464,64.54988527020349
2010,East South Central,82.66284539914103,34.87374227341327
2010,South Atlantic,84.07697004804501,50.34692517493512
2010,West South Central,77.73293292926857,47.83326439147567
2010,Mountain,83.62164358483624,49.892377612357244
2010,Pacific,82.96715729952817,54.441240804698154
2011,East North Central,84.25926728551008,58.36025423536609
2011,West North Central,85.53454330617681,57.86239965641957
2011,Middle Atlantic,85.79409457360404,59.47949007737971
2011,New England,90.07709179997316,64.05669692141998
2011,East South Central,80.54434840689383,40.54145630280663
2011,South Atlantic,79.49758015915238,53.069816423290895
2011,West South Central,72.39143710876503,51.85508149595537
2011,Mountain,79.73829013988467,53.84523840886557
2011,Pacific,81.85991062499909,57.29120337248802
2012,East North Central,84.81265100783727,56.56846750524473
2012,West North Central,86.04101748478182,55.7439353178058
2012,Middle Atlantic,85.3605116106372,56.830096244768
2012,New England,90.81317826923014,62.88875064563779
2012,East South Central,81.19124068222747,39.47806034749154
2012,South Atlantic,80.12624682008602,51.142716390376734
2012,West South Central,72.23150102581852,47.91635197971744
2012,Mountain,79.934247341295,51.36125504844208
2012,Pacific,79.62103811421191,56.038788277736245
2013,East North Central,85.312203985642,55.79087076567971
2013,West North Central,86.80628122599128,55.73423558389987
2013,Middle Atlantic,86.00905944214863,55.77728692670619
2013,New England,90.99613427352682,62.8081678477812
2013,East South Central,81.64481993094164,38.530961826638624
2013,South Atlantic,80.23569368675784,50.470577414883806
2013,West South Central,74.16198083376324,47.780114415524245
2013,Mountain,80.71719931982136,51.51137707059002
2013,Pacific,82.82407069790699,56.183403572577234
2014,East North Central,88.88493571197768,55.554570254485405
2014,West North Central,89.42342019763944,54.68144406910808
2014,Middle Atlantic,88.35969181302477,54.91727250270659
2014,New England,92.86821056603794,61.63656007118428
2014,East South Central,86.1319515725039,39.35096594131981
2014,South Atlantic,84.01558825373355,50.536141501288355
2014,West South Central,77.62178441602515,46.908646253925966
2014,Mountain,85.51498888972893,50.75496137948621
2014,Pacific,86.22992075716867,54.79053099106644
2015,East North Central,90.67770872276097,56.198550014956965
2015,West North Central,90.52998780158445,56.180215225812034
2015,Middle Atlantic,90.20897183149157,55.27675261461973
2015,New England,93.54700488068269,61.09263504377567
2015,East South Central,87.49784481506062,40.2923368556648
2015,South Atlantic,85.74618815220491,50.789094614466485
2015,West South Central,79.3852444934467,48.20704706998821
2015,Mountain,87.29597982773295,49.79820892975247
2015,Pacific,89.11643555077474,54.98509397890933
2016,East North Central,91.4562000837385,57.043039758696416
2016,West North Central,90.69539909535426,58.217176618430855
2016,Middle Atlantic,91.07808563955362,57.709104838793664
2016,New England,93.52333642364358,61.999167757763054
2016,East South Central,88.79096386156169,42.68365879606488
2016,South Atlantic,86.10984602528497,51.39147816593316
2016,West South Central,80.79996623030306,48.92734505892536
2016,Mountain,87.90424254121496,51.768611275012894
2016,Pacific,89.71899458087563,54.83710346711026
2017,East North Central,91.02945262145064,57.20989143031083
2017,West North Central,89.6722512492991,57.60790986002913
2017,Middle Atlantic,90.83150982612932,56.657765803132115
2017,New England,93.34165391928444,62.322670540645355
2017,East South Central,86.92871263094534,43.90827477284952
2017,South Atlantic,85.76482241805401,51.73826214609207
