Year,Census_Region,rate_health_care_coverage,rate_alochol_consum
2004,Midwest,87.45625233799507,57.902391464694006
2004,Northeast,87.04900738151301,60.620342595258215
2004,South,80.73334286321314,47.9558723245962
2004,West,82.73157324510801,56.06879032093385
2005,Midwest,87.36041475192823,56.44075642405777
2005,Northeast,87.69032188890527,59.002166383369705
2005,South,80.32252628398446,47.399182346588674
2005,West,82.61432906378714,55.94507347038585
2006,Midwest,87.1896651508644,56.15725514178145
2006,Northeast,88.07123177020607,58.13255399659287
2006,South,81.38261036683613,46.044140759105304
2006,West,82.64465589041775,54.032436701837376
2007,Midwest,87.5792409699887,56.8279790170012
2007,Northeast,88.300368378804,58.428793148333554
2007,South,81.31994508644071,47.06174294113127
2007,West,83.7667239136651,54.4723318634586
2008,Midwest,87.56212973809664,56.64483198941816
2008,Northeast,88.99357435087954,57.32071951941472
2008,South,81.79177633194598,46.42398169693542
2008,West,83.13737199130766,52.93144258006281
2009,Midwest,87.36941100255217,55.59216024510768
2009,Northeast,89.12717041859679,57.8988045531485
2009,South,81.2919390434408,46.48932725170403
2009,West,83.44721778274312,53.05137995665973
2010,Midwest,87.19132320466969,55.559899980314874
2010,Northeast,89.51116562123163,58.623203840568536
2010,South,81.83558068710613,47.06228180878911
2010,West,83.16797480808576,53.04550281360296
2011,Midwest,84.65123296325967,58.2072348855978
2011,Northeast,86.9133701157914,60.67565141050528
2011,South,77.40149284623843,50.67988861695206
2011,West,81.20846170407346,56.23311113928718
2012,Midwest,85.19118462709135,56.31437952827626
2012,Northeast,86.78687323954065,58.41497804688018
2012,South,77.77333784636541,48.25744094516665
2012,West,79.71740658674659,54.59960100750399
2013,Midwest,85.77373844217185,55.773375627451706
2013,Northeast,87.31547721374154,57.61910163689524
2013,South,78.51284702241553,47.72060690207529
2013,West,82.17427076927474,54.74246013429399
2014,Midwest,89.05172247047527,55.284133705065635
2014,Northeast,89.54322194808695,56.681151008951524
2014,South,82.29264890884764,47.61334507545503
2014,West,86.008930179758,53.543107426303784
2015,Midwest,90.63181448205358,56.1928537248199
2015,Northeast,91.08628602955983,56.80530435578079
2015,South,83.96775617077402,48.32040616413216
2015,West,88.5519664368333,53.3767953695251
2016,Midwest,91.21924390851618,57.408731948530566
2016,Northeast,91.72191382299772,58.8386672681168
2016,South,84.81016529635536,49.248123704146145
2016,West,89.15392542192019,53.881650455152766
2017,Midwest,90.60577929698455,57.33413960363106
2017,Northeast,91.49404738630064,58.15298361697376
2017,South,83.87289436161763,49.912661477125035
2017,West,89.02147740313414,55.54904891288696
2018,Midwest,90.40797270345774,55.816074944383246
2018,Northeast,90.9631829947997,57.44606385005911
2018,South,84.35242803104033,49.29309440221984
2018,West,88.59379720284572,53.36723337961082
2019,Midwest,89.47614486960764,55.95126041058641
2019,Northeast,90.7743494527343,56.90690288892843
2019,South,83.70005072286412,49.57532394374004
2019,West,87.60780238820836,53.434973940635686
2020,Midwest,90.73119186484878,53.532686508929324
2020,Northeast,90.85800689521926,56.09719996127169
2020,South,83.4801166405219,49.38847842839581
2020,West,88.82770891891816,52.32786036548372
2021,Midwest,NA,54.29636011223706
2021,Northeast,NA,54.89168016886597
2021,South,NA,49.076929879515895
2021,West,NA,53.350012201977854
2022,Midwest,NA,55.128833558930204
2022,Northeast,NA,55.388229660577835
2022,South,NA,50.162969141967274
2022,West,NA,53.02385011025406
2023,Midwest,NA,53.84999209339229
2023,Northeast,NA,55.78177723286526
2023,South,NA,49.697910010571974
2023,West,NA,51.67449811682442
2024,Midwest,NA,53.397442771923544
2024,Northeast,NA,54.23903306911871
2024,South,NA,48.97531116563256
2024,West,NA,51.308473718575286
2025,Midwest,NA,NA
2025,Northeast,NA,NA
2025,South,NA,NA
2025,West,NA,NA
