Year,Census_Division,rate_health_care_coverage,rate_alochol_consum,socio_score
2005,East North Central,86.685898781729,56.66724966797423,111.25366600949933
2005,West North Central,88.93091205107936,55.91340489561031,113.2728684288463
2005,Middle Atlantic,87.0211928699415,57.03751773214606,124.05004989706958
2005,New England,89.58901952978276,64.57698626639946,130.64201062298477
2005,East South Central,83.6572129441147,36.368794196697245,97.48647764709776
2005,South Atlantic,83.13199996568127,50.87740789037885,116.77174237384104
2005,West South Central,73.87768987765959,47.3690345069704,100.83547582087662
2005,Mountain,80.90961781917282,53.77514353709443,117.56792795903227
2005,Pacific,83.34216998815648,56.871543459630786,125.45210633789898
2006,East North Central,86.63605596365004,56.88665933202739,111.25366600949933
2006,West North Central,88.4729771847726,54.46643570354977,113.2728684288463
2006,Middle Atlantic,87.27566661121746,56.504455788420024,124.05004989706958
2006,New England,90.3282379425917,62.75144367970514,130.64201062298477
2006,East South Central,83.88913036164182,33.318033635209375,97.48647764709776
2006,South Atlantic,83.84629278231442,49.558744940081986,116.77174237384104
2006,West South Central,75.93031307709788,46.80262818238606,100.83547582087662
2006,Mountain,81.28866529764298,51.69793552535108,117.56792795903227
2006,Pacific,83.23497045970649,55.04873435452354,125.45210633789898
2007,East North Central,87.11530700075076,57.49085955061046,111.25366600949933
2007,West North Central,88.64998128160816,55.29807830658522,113.2728684288463
2007,Middle Atlantic,87.18957784574496,56.31779042053086,124.05004989706958
2007,New England,91.4530675139257,64.42034265844214,130.64201062298477
2007,East South Central,84.26894215151043,34.75612687072994,97.48647764709776
2007,South Atlantic,83.59888550660278,51.0417767705337,116.77174237384104
2007,West South Central,75.98257707502174,46.7979113829465,100.83547582087662
2007,Mountain,81.72525646534622,51.94249892551499,117.56792795903227
2007,Pacific,84.66902275164304,55.590481125189214,125.45210633789898
2008,East North Central,87.06342144614794,56.74243663820752,111.25366600949933
2008,West North Central,88.70706707546597,56.42075068075754,113.2728684288463
2008,Middle Atlantic,87.67554586018743,55.057065521503695,124.05004989706958
2008,New England,92.72830092320766,63.73494257776129,130.64201062298477
2008,East South Central,83.62083759986946,36.63155888966108,97.48647764709776
2008,South Atlantic,84.43642707750377,49.141218253329825,116.77174237384104
2008,West South Central,76.45582150320895,46.94695023692006,100.83547582087662
2008,Mountain,82.36756817215077,51.74281921388483,117.56792795903227
2008,Pacific,83.48041079855143,53.461115116946736,125.45210633789898
2009,East North Central,86.69018564206434,55.57850892593629,111.25366600949933
2009,West North Central,88.92252152474772,55.623375227174456,113.2728684288463
2009,Middle Atlantic,88.13801785525854,55.81341876805624,124.05004989706958
2009,New England,91.92769588044676,63.80302621256684,130.64201062298477
2009,East South Central,83.68041782553415,33.395991127175854,97.48647764709776
2009,South Atlantic,83.46373710489893,48.90815791051851,116.77174237384104
2009,West South Central,76.48866277696183,49.168322828802125,100.83547582087662
2009,Mountain,83.2734001180857,50.56967981704399,117.56792795903227
2009,Pacific,83.52498783551484,54.16175013222222,125.45210633789898
2010,East North Central,86.8329240960298,56.09305073601386,110.64836606635828
2010,West North Central,88.00176827118605,54.35429039801014,114.248644192982
2010,Middle Atlantic,88.54742030918041,56.52699285591439,124.16601830596603
2010,New England,92.23599221819464,64.54988527020349,130.68782279565605
2010,East South Central,82.66284539914103,34.87374227341327,98.91119651692284
2010,South Atlantic,84.07697004804501,50.34692517493512,115.4065589494856
2010,West South Central,77.73293292926857,47.83326439147567,103.43470531714314
2010,Mountain,83.62164358483624,49.89237761235725,116.6188131623238
2010,Pacific,82.96715729952817,54.441240804698154,121.42318328877744
2011,East North Central,84.25926728551008,58.36025423536609,110.64836606635828
