Year,Census_Region,rate_health_care_coverage,rate_alochol_consum,socio_score
2005,Midwest,87.36041475192823,56.44075642405777,111.94765962723643
2005,Northeast,87.69032188890527,59.002166383369705,125.7711204003381
2005,South,80.32252628398446,47.399182346588674,109.11288991516956
2005,West,82.61432906378714,55.94507347038585,122.44573700180656
2006,Midwest,87.1896651508644,56.15725514178145,111.94765962723643
2006,Northeast,88.07123177020607,58.13255399659287,125.7711204003381
2006,South,81.38261036683613,46.044140759105304,109.11288991516956
2006,West,82.64465589041775,54.032436701837376,122.44573700180656
2007,Midwest,87.5792409699887,56.8279790170012,111.94765962723643
2007,Northeast,88.300368378804,58.428793148333554,125.7711204003381
2007,South,81.31994508644071,47.06174294113127,109.11288991516956
2007,West,83.7667239136651,54.4723318634586,122.44573700180656
2008,Midwest,87.56212973809664,56.64483198941816,111.94765962723643
2008,Northeast,88.99357435087954,57.32071951941472,125.7711204003381
2008,South,81.79177633194598,46.42398169693542,109.11288991516956
2008,West,83.13737199130766,52.93144258006281,122.44573700180656
2009,Midwest,87.36941100255217,55.59216024510768,111.94765962723643
2009,Northeast,89.12717041859679,57.8988045531485,125.7711204003381
2009,South,81.2919390434408,46.48932725170403,109.11288991516956
2009,West,83.44721778274312,53.05137995665973,122.44573700180656
2010,Midwest,87.19132320466969,55.559899980314874,111.9059555537252
2010,Northeast,89.51116562123163,58.623203840568536,125.87209617618171
2010,South,81.83558068710613,47.06228180878911,109.35310048264247
2010,West,83.16797480808576,53.04550281360296,119.58040250433616
2011,Midwest,84.65123296325967,58.2072348855978,111.9059555537252
2011,Northeast,86.9133701157914,60.67565141050528,125.87209617618171
2011,South,77.40149284623843,50.67988861695206,109.35310048264247
2011,West,81.20846170407346,56.23311113928718,119.58040250433616
2012,Midwest,85.19118462709135,56.31437952827626,111.9059555537252
2012,Northeast,86.78687323954065,58.41497804688018,125.87209617618171
2012,South,77.77333784636541,48.25744094516665,109.35310048264247
2012,West,79.71740658674659,54.59960100750399,119.58040250433616
2013,Midwest,85.77373844217185,55.773375627451706,111.9059555537252
2013,Northeast,87.31547721374154,57.61910163689524,125.87209617618171
2013,South,78.51284702241553,47.72060690207529,109.35310048264247
2013,West,82.17427076927474,54.74246013429399,119.58040250433616
2014,Midwest,89.05172247047527,55.284133705065635,111.9059555537252
2014,Northeast,89.54322194808695,56.68115100895152,125.87209617618171
2014,South,82.29264890884764,47.61334507545503,109.35310048264247
2014,West,86.008930179758,53.543107426303784,119.58040250433616
2015,Midwest,90.63181448205358,56.1928537248199,112.4261617745324
2015,Northeast,91.08628602955984,56.80530435578079,124.60635816587993
2015,South,83.96775617077402,48.32040616413216,110.5326513920052
2015,West,88.5519664368333,53.3767953695251,123.61320831293256
2016,Midwest,91.21924390851618,57.408731948530566,112.4261617745324
2016,Northeast,91.72191382299772,58.8386672681168,124.60635816587993
2016,South,84.81016529635536,49.248123704146145,110.5326513920052
2016,West,89.15392542192019,53.881650455152766,123.61320831293256
2017,Midwest,90.605779296984565,57.33413960363106,112.4261617745324
2017,Northeast,91.49404738630064,58.15298361697376,124.60635816587993
2017,South,83.87289436161763,49.912661477125035,110.5326513920052
2017,West,89.02147740313414,55.54904891288696,123.61320831293256
2018,Midwest,90.40797270345774,55.816074944383246,112.4261617745324
2018,Northeast,90.9631829947997,57.44606385005911,124.60635816587993
2018,South,84.35242803104033,49.29309440221984,110.5326513920052
2018,West,88.59379720284572,53.36723337961082,123.61320831293256
2019,Midwest,89.47614486960764,55.95126041058641,112.4261617745324
2019,Northeast,90.7743494527343,56.90690288892843,124.60635816587993
2019,South,83.70005072286412,49.57532394374004,110.5326513920052
2019,West,87.60780238820836,53.434973940635686,123.61320831293256
