Census_Region,Year,rate_health_care_coverage,rate_alochol_consum,socio_score,rate_health_care_coverage_pw,rate_alochol_consum_pw
Midwest,2005,87.36041475192823,56.44075642405777,111.94765962723643,0.08736033964641832,0.056440707900801516
Midwest,2006,87.1896651508644,56.15725514178145,111.94765962723643,-0.13027299010244428,-0.2162392940245543
Midwest,2007,87.5792409699887,56.8279790170012,111.94765962723643,0.4154239086552346,0.7106614736977075
Midwest,2008,87.56212973809664,56.64483198941816,111.94765962723643,-0.30187311025586994,-0.6588843704264339
Midwest,2009,87.36941100255217,55.59216024510768,111.94765962723643,0.042241591320361406,-0.5096917800536516
Midwest,2010,87.19132320466969,55.559899980314874,111.9059555537252,-0.20543897483341053,0.36733780531282934
Midwest,2011,84.65123296325967,58.2072348855978,111.9059555537252,-2.3195888908581894,2.294452956004681
Midwest,2012,85.19118462709135,56.31437952827626,111.9059555537252,2.4270031020334284,-3.738815439064382
Midwest,2013,85.77373844217185,55.773375627451706,111.9059555537252,-1.4293339758859032,2.5545191418335667
Midwest,2014,89.05172247047527,55.284133705065635,111.9059555537252,4.4435925576588815,-2.612974726879499
Midwest,2015,90.63181448205358,56.1928537248199,112.4261617745324,-2.148899328328709,3.091619023703177
Midwest,2016,91.21924390851618,57.408731948530566,112.4261617745324,2.3911454550849336,-1.3870199283449929
Midwest,2017,90.605779296984565,57.33413960363106,112.4261617745324,-2.6266509209075424,1.0943656645141437
Midwest,2018,90.40797270345774,55.816074944383246,112.4261617745324,2.0200441433778984,-2.4389679237884936
Midwest,2019,89.47614486960764,55.95126041058641,112.4261617745324,-2.638148950935333,2.1967623878063565
Northeast,2005,87.69032188890527,59.002166383369705,125.7711204003381,0.03921630022085616,0.02638656833193681
Northeast,2006,88.07123177020607,58.13255399659287,125.7711204003381,-0.11679684901572479,-0.08110400067606119
Northeast,2007,88.300368378804,58.428793148333554,125.7711204003381,-0.15177327269679508,1.1658515384702792
Northeast,2008,88.99357435087954,57.32071951941472,125.7711204003381,0.46406936348240435,-1.4043127806863938
Northeast,2009,89.12717041859679,57.8988045531485,125.7711204003381,-0.5596099043583393,1.6861586626526233
Northeast,2010,89.51116562123163,58.623203840568536,125.87209617618171,0.25039913491762894,0.146314253686235
Northeast,2011,86.9133701157914,60.67565141050528,125.87209617618171,-2.9817907080751103,1.3280482825167044
Northeast,2012,86.78687323954065,58.41497804688018,125.87209617618171,2.4712986291895334,-4.313120933561841
Northeast,2013,87.31547721374154,57.61910163689524,125.87209617618171,0.6551008504516176,1.4647969536401462
Northeast,2014,89.54322194808695,56.68115100895152,125.87209617618171,1.699140760144516,-0.14207421795877195
Northeast,2015,91.08628602955984,56.80530435578079,124.60635816587993,-0.6846806528724869,1.062103974772981
Northeast,2016,91.72191382299772,58.8386672681168,124.60635816587993,-0.9074362880350293,1.9092095655067425
Northeast,2017,91.49404738630064,58.15298361697376,124.60635816587993,-0.8634942301349612,-2.7190465634790475
Northeast,2018,90.9631829947997,57.44606385005911,124.60635816587993,-0.30299795480385683,-0.02123611577160034
Northeast,2019,90.7743494527343,56.90690288892843,124.60635816587993,0.3420308494355453,0.1677588057839614
South,2005,80.32252628398446,47.399182346588674,109.11288991516956,0.08032246295981986,0.04739914497832146
South,2006,81.38261036683613,46.044140759105304,109.11288991516956,0.8441657895089866,-1.079160216884704
South,2007,81.31994508644071,47.06174294113127,109.11288991516956,-0.7038047360427098,1.83713210407623
South,2008,81.79177633194598,46.42398169693542,109.11288991516956,0.5097312426934337,-1.2532076220640462
South,2009,81.2919390434408,46.48932725170403,109.11288991516956,-0.7852010938707679,0.4510639176199973
South,2010,81.83558068710613,47.06228180878911,109.35310048264247,0.8459435197496674,0.5334335284331289
South,2011,77.40149284623843,50.67988861695206,109.35310048264247,-4.762882615841562,3.271083566497886
South,2012,77.77333784636541,48.25744094516665,109.35310048264247,3.053583845633696,-4.610378324805957
South,2013,78.51284702241553,47.72060690207529,109.35310048264247,0.5146171086992695,0.9282636851852502
South,2014,82.29264890884764,47.61334507545503,109.35310048264247,3.33254631658437,0.2174157076585388
South,2015,83.96775617077402,48.32040616413216,110.5326513920052,-0.6109190665869875,0.7719331023608405
South,2016,84.81016529635536,49.248123704146145,110.5326513920052,-0.17069669819035482,0.5000865918457009
South,2017,83.87289436161763,49.912661477125035,110.5326513920052,-1.4467604525274282,0.10345367766999658
South,2018,84.35242803104033,49.29309440221984,110.5326513920052,1.0463956632885498,-1.0214798975783808
South,2019,83.70005072286412,49.57532394374004,110.5326513920052,-0.9423995439034059,0.65694406044706
West,2005,82.61432906378714,55.94507347038585,122.44573700180656,0.08261428775665358,0.05594504549787009
West,2006,82.64465589041775,54.032436701837376,122.44573700180656,0.030326826630743993,-1.9126367685567118
West,2007,83.7667239136651,54.4723318634586,122.44573700180656,1.1220680232473512,0.439895161621223
West,2008,83.13737199130766,52.93144258006281,122.44573700180656,-0.6293519223574435,-1.5408892833957921
West,2009,83.44721778274312,53.05137995665973,122.44573700180656,0.309845791435464,0.11993737659692272
West,2010,83.16797480808576,53.04550281360296,119.58040250433616,-0.2792429746573646,-0.005877143056771672
West,2011,81.20846170407346,56.23311113928718,119.58040250433616,-1.9595131040123022,3.1876083256842236
West,2012,79.71740658674659,54.59960100750399,119.58040250433616,-1.4910551173268658,-1.63351013178319
West,2013,82.17427076927474,54.74246013429399,119.58040250433616,2.4568641825281503,0.14285912679000035
West,2014,86.008930179758,53.543107426303784,119.58040250433616,3.8346594104832548,-1.199352707990208
West,2015,88.5519664368333,53.3767953695251,123.61320831293256,2.5430362570753005,-0.1663120567786862
West,2016,89.15392542192019,53.881650455152766,123.61320831293256,0.6019589850868954,0.5048550856276677
West,2017,89.02147740313414,55.54904891288696,123.61320831293256,-0.13244801878605017,1.667398457734194
West,2018,88.59379720284572,53.36723337961082,123.61320831293256,-0.427680200288421,-2.1818155332761364
West,2019,87.60780238820836,53.434973940635686,123.61320831293256,-0.9859948146373654,0.0677405610248627
