Census_Division,Score,start_year,end_year
East North Central,111.25366600949933,2005,2009
West North Central,113.2728684288463,2005,2009
Middle Atlantic,124.05004989706958,2005,2009
New England,130.64201062298477,2005,2009
East South Central,97.48647764709777,2005,2009
South Atlantic,116.77174237384104,2005,2009
West South Central,100.83547582087662,2005,2009
Mountain,117.56792795903227,2005,2009
Pacific,125.45210633789898,2005,2009
East North Central,110.64836606635828,2010,2014
West North Central,114.248644192982,2010,2014
Middle Atlantic,124.16601830596603,2010,2014
New England,130.68782279565605,2010,2014
East South Central,98.91119651692283,2010,2014
South Atlantic,115.40655894948561,2010,2014
West South Central,103.43470531714314,2010,2014
Mountain,116.6188131623238,2010,2014
Pacific,121.42318328877745,2010,2014
East North Central,111.475449856404,2015,2019
West North Central,114.18060432248113,2015,2019
Middle Atlantic,122.51320932073997,2015,2019
New England,130.43119641447308,2015,2019
East South Central,100.1570907944848,2015,2019
South Atlantic,116.76612526731672,2015,2019
West South Central,104.16307841952104,2015,2019
Mountain,119.4739984214663,2015,2019
Pacific,126.26255362293365,2015,2019
