year,census_region,sex,age5,population
2004,North Central,Female,0-4,2129529
2004,North Central,Female,10-14,2349617
2004,North Central,Female,15-19,2343014
2004,North Central,Female,20-24,2297253
2004,North Central,Female,25-29,2018937
2004,North Central,Female,30-34,2156467
2004,North Central,Female,35-39,2251566
2004,North Central,Female,40-44,2574663
2004,North Central,Female,45-49,2542586
2004,North Central,Female,5-9,2153028
2004,North Central,Female,50-54,2261178
2004,North Central,Female,55-59,1884279
2004,North Central,Female,60-64,1475070
2004,North Central,Female,65-69,1199807
2004,North Central,Female,70-74,1076362
2004,North Central,Female,75-79,1005604
2004,North Central,Female,80-84,815612
2004,North Central,Female,85+,803282
2004,North Central,Male,0-4,2227340
2004,North Central,Male,10-14,2471955
2004,North Central,Male,15-19,2475454
2004,North Central,Male,20-24,2374800
2004,North Central,Male,25-29,2059593
2004,North Central,Male,30-34,2176909
2004,North Central,Male,35-39,2257402
2004,North Central,Male,40-44,2542883
2004,North Central,Male,45-49,2500077
2004,North Central,Male,5-9,2254335
2004,North Central,Male,50-54,2208546
2004,North Central,Male,55-59,1807893
2004,North Central,Male,60-64,1361621
2004,North Central,Male,65-69,1055253
2004,North Central,Male,70-74,865208
2004,North Central,Male,75-79,732290
2004,North Central,Male,80-84,491373
2004,North Central,Male,85+,331519
2004,Northeast,Female,0-4,1627643
2004,Northeast,Female,10-14,1873852
2004,Northeast,Female,15-19,1861683
2004,Northeast,Female,20-24,1747744
2004,Northeast,Female,25-29,1700753
2004,Northeast,Female,30-34,1834701
2004,Northeast,Female,35-39,2038369
2004,Northeast,Female,40-44,2243344
2004,Northeast,Female,45-49,2168389
2004,Northeast,Female,5-9,1675542
2004,Northeast,Female,50-54,1925607
2004,Northeast,Female,55-59,1673010
2004,Northeast,Female,60-64,1294379
2004,Northeast,Female,65-69,1042064
2004,Northeast,Female,70-74,959977
2004,Northeast,Female,75-79,919399
2004,Northeast,Female,80-84,747799
2004,Northeast,Female,85+,716859
2004,Northeast,Male,0-4,1701761
2004,Northeast,Male,10-14,1970846
2004,Northeast,Male,15-19,1953107
2004,Northeast,Male,20-24,1794140
2004,Northeast,Male,25-29,1676480
2004,Northeast,Male,30-34,1784947
2004,Northeast,Male,35-39,1969032
2004,Northeast,Male,40-44,2166904
2004,Northeast,Male,45-49,2077096
2004,Northeast,Male,5-9,1754516
2004,Northeast,Male,50-54,1817004
2004,Northeast,Male,55-59,1540826
2004,Northeast,Male,60-64,1153026
2004,Northeast,Male,65-69,885506
2004,Northeast,Male,70-74,751123
2004,Northeast,Male,75-79,641263
2004,Northeast,Male,80-84,439753
2004,Northeast,Male,85+,295089
2004,South,Female,0-4,3579730
2004,South,Female,10-14,3733752
2004,South,Female,15-19,3671076
2004,South,Female,20-24,3749999
2004,South,Female,25-29,3469259
2004,South,Female,30-34,3692475
2004,South,Female,35-39,3787659
2004,South,Female,40-44,4171443
2004,South,Female,45-49,4002570
2004,South,Female,5-9,3417293
2004,South,Female,50-54,3588507
2004,South,Female,55-59,3129410
2004,South,Female,60-64,2471624
2004,South,Female,65-69,2025091
2004,South,Female,70-74,1754785
2004,South,Female,75-79,1545875
2004,South,Female,80-84,1181040
2004,South,Female,85+,1044570
2004,South,Male,0-4,3734722
2004,South,Male,10-14,3909481
2004,South,Male,15-19,3893101
2004,South,Male,20-24,3899927
2004,South,Male,25-29,3483417
