"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","1999","1999",0,660461,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2000","2000",0,662386,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2001","2001",0,680424,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2002","2002",0,668359,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2003","2003",0,670847,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2004","2004",Suppressed,669415,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2005","2005",Suppressed,650437,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2006","2006",Suppressed,648684,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2007","2007",0,661176,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2008","2008",Suppressed,657621,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2009","2009",Suppressed,642113,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2010","2010",0,630955,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2011","2011",Suppressed,643159,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2012","2012",Suppressed,631610,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2013","2013",Suppressed,640409,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2014","2014",Suppressed,638091,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2015","2015",Suppressed,636332,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2016","2016",Suppressed,626640,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2017","2017",Suppressed,623444,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2018","2018",Suppressed,610408,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2019","2019",Suppressed,603701,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 1: Northeast","CENS-R1","2020","2020",Suppressed,596651,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","1999","1999",Suppressed,853762,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2000","2000",0,859607,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2001","2001",Suppressed,887120,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2002","2002",0,864098,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2003","2003",Suppressed,866905,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2004","2004",Suppressed,876899,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2005","2005",Suppressed,861807,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2006","2006",Suppressed,870650,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2007","2007",0,886085,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2008","2008",Suppressed,873505,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2009","2009",Suppressed,854125,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2010","2010",Suppressed,841754,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2011","2011",Suppressed,840110,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2012","2012",Suppressed,822767,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2013","2013",Suppressed,825265,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2014","2014",Suppressed,826985,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2015","2015",Suppressed,832259,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2016","2016",Suppressed,827208,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2017","2017",Suppressed,819529,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2018","2018",Suppressed,801327,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2019","2019",Suppressed,789176,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 2: Midwest","CENS-R2","2020","2020",Suppressed,780950,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","1999","1999",Suppressed,1376421,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2000","2000",Suppressed,1378966,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2001","2001",Suppressed,1473830,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2002","2002",Suppressed,1458207,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2003","2003",Suppressed,1463215,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2004","2004",Suppressed,1486534,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2005","2005",Suppressed,1501441,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2006","2006",Suppressed,1521005,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2007","2007",Suppressed,1575238,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2008","2008",Suppressed,1578222,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2009","2009",Suppressed,1525391,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2010","2010",Suppressed,1500673,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2011","2011",Suppressed,1531307,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2012","2012",Suppressed,1507737,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2013","2013",Suppressed,1506298,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2014","2014",Suppressed,1508830,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2015","2015",Suppressed,1532340,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2016","2016",Suppressed,1538390,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2017","2017",Suppressed,1532795,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2018","2018",Suppressed,1494786,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2019","2019",Suppressed,1475293,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 3: South","CENS-R3","2020","2020",10,1466665,Unreliable,0.3,1.3,0.2
,"< 1 year","1","Census Region 4: West","CENS-R4","1999","1999",Suppressed,905118,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2000","2000",Suppressed,904689,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2001","2001",0,971284,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 4: West","CENS-R4","2002","2002",Suppressed,960797,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2003","2003",Suppressed,974904,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2004","2004",Suppressed,981410,Suppressed,Suppressed,Suppressed,Suppressed
