"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","15-24 years","15-24",30,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","25-34 years","25-34",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","35-44 years","35-44",101,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","45-54 years","45-54",99,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","55-64 years","55-64",53,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","65-74 years","65-74",10,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","15-24 years","15-24",32,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","25-34 years","25-34",98,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","35-44 years","35-44",80,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","45-54 years","45-54",97,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","55-64 years","55-64",38,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","15-24 years","15-24",29,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","25-34 years","25-34",112,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","35-44 years","35-44",94,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","45-54 years","45-54",97,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","55-64 years","55-64",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","65-74 years","65-74",17,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","< 1 year","1",0,Not Applicable,Not Applicable
