Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,1-4 years,4-Jan,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,10-14 years,14-Oct,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,25-29 years,25-29,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,30-34 years,30-34,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,35-39 years,35-39,25,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,40-44 years,40-44,29,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,45-49 years,45-49,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,50-54 years,50-54,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,65-69 years,65-69,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jan., 2004",2004/01,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,20-24 years,20-24,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,25-29 years,25-29,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,30-34 years,30-34,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,35-39 years,35-39,24,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,40-44 years,40-44,25,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,45-49 years,45-49,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Feb., 2004",2004/02,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,1-4 years,4-Jan,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,20-24 years,20-24,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,25-29 years,25-29,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,30-34 years,30-34,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,35-39 years,35-39,24,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,40-44 years,40-44,25,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,45-49 years,45-49,25,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,50-54 years,50-54,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,75-79 years,75-79,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,80-84 years,80-84,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Mar., 2004",2004/03,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,30-34 years,30-34,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,35-39 years,35-39,24,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,40-44 years,40-44,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,45-49 years,45-49,18,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,50-54 years,50-54,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Apr., 2004",2004/04,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,1-4 years,4-Jan,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,25-29 years,25-29,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,30-34 years,30-34,15,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,35-39 years,35-39,23,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,40-44 years,40-44,27,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,45-49 years,45-49,22,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,50-54 years,50-54,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,75-79 years,75-79,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"May, 2004",2004/05,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,10-14 years,14-Oct,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,20-24 years,20-24,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,30-34 years,30-34,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,35-39 years,35-39,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,40-44 years,40-44,29,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,45-49 years,45-49,15,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,75-79 years,75-79,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jun., 2004",2004/06,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,10-14 years,14-Oct,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,20-24 years,20-24,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,30-34 years,30-34,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,35-39 years,35-39,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,40-44 years,40-44,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,45-49 years,45-49,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,2004,2004,"Jul., 2004",2004/07,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
