"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","20-24 years","20-24",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","25-29 years","25-29",35,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","30-34 years","30-34",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","35-39 years","35-39",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","40-44 years","40-44",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","45-49 years","45-49",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","50-54 years","50-54",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","55-59 years","55-59",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","60-64 years ","60-64",14,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","75-79 years","75-79",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","80-84 years","80-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","85-89 years","85-89",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jan., 2017","2017/01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","20-24 years","20-24",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","25-29 years","25-29",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","30-34 years","30-34",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","35-39 years","35-39",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","40-44 years","40-44",32,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","45-49 years","45-49",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","50-54 years","50-54",40,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","55-59 years","55-59",28,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","60-64 years ","60-64",10,Not Applicable,Not Applicable
