"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","1999","1999","Jan., 1999","1999/01",103,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Feb., 1999","1999/02",99,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Mar., 1999","1999/03",84,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Apr., 1999","1999/04",104,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","May, 1999","1999/05",78,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Jun., 1999","1999/06",98,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Jul., 1999","1999/07",93,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Aug., 1999","1999/08",100,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Sep., 1999","1999/09",78,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Oct., 1999","1999/10",102,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Nov., 1999","1999/11",79,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Dec., 1999","1999/12",88,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jan., 2000","2000/01",94,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Feb., 2000","2000/02",81,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Mar., 2000","2000/03",86,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Apr., 2000","2000/04",85,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","May, 2000","2000/05",92,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jun., 2000","2000/06",84,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jul., 2000","2000/07",104,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Aug., 2000","2000/08",105,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Sep., 2000","2000/09",102,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Oct., 2000","2000/10",88,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Nov., 2000","2000/11",79,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Dec., 2000","2000/12",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jan., 2001","2001/01",111,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Feb., 2001","2001/02",114,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Mar., 2001","2001/03",116,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Apr., 2001","2001/04",138,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","May, 2001","2001/05",116,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jun., 2001","2001/06",116,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jul., 2001","2001/07",124,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Aug., 2001","2001/08",131,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Sep., 2001","2001/09",108,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Oct., 2001","2001/10",102,Not Applicable,Not Applicable
