"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","1999","1999","Jan., 1999","1999/01","Female","F",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Jan., 1999","1999/01","Male","M",72,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Feb., 1999","1999/02","Female","F",40,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Feb., 1999","1999/02","Male","M",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Mar., 1999","1999/03","Female","F",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Mar., 1999","1999/03","Male","M",50,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Apr., 1999","1999/04","Female","F",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Apr., 1999","1999/04","Male","M",77,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","May, 1999","1999/05","Female","F",30,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","May, 1999","1999/05","Male","M",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Jun., 1999","1999/06","Female","F",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Jun., 1999","1999/06","Male","M",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Jul., 1999","1999/07","Female","F",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Jul., 1999","1999/07","Male","M",66,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Aug., 1999","1999/08","Female","F",33,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Aug., 1999","1999/08","Male","M",67,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Sep., 1999","1999/09","Female","F",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Sep., 1999","1999/09","Male","M",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Oct., 1999","1999/10","Female","F",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Oct., 1999","1999/10","Male","M",68,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Nov., 1999","1999/11","Female","F",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Nov., 1999","1999/11","Male","M",52,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Dec., 1999","1999/12","Female","F",28,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","1999","1999","Dec., 1999","1999/12","Male","M",60,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jan., 2000","2000/01","Female","F",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jan., 2000","2000/01","Male","M",67,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Feb., 2000","2000/02","Female","F",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Feb., 2000","2000/02","Male","M",55,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Mar., 2000","2000/03","Female","F",28,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Mar., 2000","2000/03","Male","M",58,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Apr., 2000","2000/04","Female","F",22,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Apr., 2000","2000/04","Male","M",63,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","May, 2000","2000/05","Female","F",35,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","May, 2000","2000/05","Male","M",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jun., 2000","2000/06","Female","F",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jun., 2000","2000/06","Male","M",58,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jul., 2000","2000/07","Female","F",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Jul., 2000","2000/07","Male","M",77,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Aug., 2000","2000/08","Female","F",32,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Aug., 2000","2000/08","Male","M",73,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Sep., 2000","2000/09","Female","F",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Sep., 2000","2000/09","Male","M",76,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Oct., 2000","2000/10","Female","F",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Oct., 2000","2000/10","Male","M",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Nov., 2000","2000/11","Female","F",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Nov., 2000","2000/11","Male","M",58,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Dec., 2000","2000/12","Female","F",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2000","2000","Dec., 2000","2000/12","Male","M",64,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jan., 2001","2001/01","Female","F",37,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jan., 2001","2001/01","Male","M",74,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Feb., 2001","2001/02","Female","F",37,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Feb., 2001","2001/02","Male","M",77,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Mar., 2001","2001/03","Female","F",37,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Mar., 2001","2001/03","Male","M",79,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Apr., 2001","2001/04","Female","F",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Apr., 2001","2001/04","Male","M",90,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","May, 2001","2001/05","Female","F",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","May, 2001","2001/05","Male","M",69,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jun., 2001","2001/06","Female","F",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jun., 2001","2001/06","Male","M",80,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jul., 2001","2001/07","Female","F",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Jul., 2001","2001/07","Male","M",82,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Aug., 2001","2001/08","Female","F",40,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Aug., 2001","2001/08","Male","M",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Sep., 2001","2001/09","Female","F",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Sep., 2001","2001/09","Male","M",66,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Oct., 2001","2001/10","Female","F",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Oct., 2001","2001/10","Male","M",68,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Nov., 2001","2001/11","Female","F",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Nov., 2001","2001/11","Male","M",88,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Dec., 2001","2001/12","Female","F",49,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2001","2001","Dec., 2001","2001/12","Male","M",87,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Jan., 2002","2002/01","Female","F",40,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Jan., 2002","2002/01","Male","M",96,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Feb., 2002","2002/02","Female","F",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Feb., 2002","2002/02","Male","M",88,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Mar., 2002","2002/03","Female","F",43,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Mar., 2002","2002/03","Male","M",89,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Apr., 2002","2002/04","Female","F",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Apr., 2002","2002/04","Male","M",90,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","May, 2002","2002/05","Female","F",52,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","May, 2002","2002/05","Male","M",111,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Jun., 2002","2002/06","Female","F",38,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Jun., 2002","2002/06","Male","M",76,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Jul., 2002","2002/07","Female","F",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Jul., 2002","2002/07","Male","M",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Aug., 2002","2002/08","Female","F",37,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Aug., 2002","2002/08","Male","M",74,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Sep., 2002","2002/09","Female","F",44,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Sep., 2002","2002/09","Male","M",75,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2002","2002","Oct., 2002","2002/10","Female","F",44,Not Applicable,Not Applicable
