Notes,State,State Code,Sex,Sex Code,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,source_file,year_start,year_end
"",Arizona,04,Male,M,35-39 years,35-39,2002,2002,"Jun., 2002",2002/06,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,35-39 years,35-39,2002,2002,"Aug., 2002",2002/08,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,1999,1999,"Feb., 1999",1999/02,15,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,1999,1999,"May, 1999",1999/05,12,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,1999,1999,"Oct., 1999",1999/10,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,2000,2000,"Jul., 2000",2000/07,13,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,2001,2001,"Jul., 2001",2001/07,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,2001,2001,"Nov., 2001",2001/11,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,2002,2002,"Mar., 2002",2002/03,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,2002,2002,"Apr., 2002",2002/04,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,2002,2002,"Jun., 2002",2002/06,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,40-44 years,40-44,2002,2002,"Jul., 2002",2002/07,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,45-49 years,45-49,1999,1999,"Apr., 1999",1999/04,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,45-49 years,45-49,1999,1999,"May, 1999",1999/05,13,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,45-49 years,45-49,2001,2001,"Jul., 2001",2001/07,12,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,45-49 years,45-49,2001,2001,"Aug., 2001",2001/08,14,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",Arizona,04,Male,M,45-49 years,45-49,2002,2002,"Jul., 2002",2002/07,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,25-29 years,25-29,1999,1999,"Oct., 1999",1999/10,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,25-29 years,25-29,2000,2000,"Mar., 2000",2000/03,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,30-34 years,30-34,2000,2000,"Jan., 2000",2000/01,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,30-34 years,30-34,2002,2002,"Jan., 2002",2002/01,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,30-34 years,30-34,2002,2002,"May, 2002",2002/05,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,30-34 years,30-34,2002,2002,"Jun., 2002",2002/06,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,30-34 years,30-34,2002,2002,"Jul., 2002",2002/07,12,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,30-34 years,30-34,2002,2002,"Oct., 2002",2002/10,13,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,30-34 years,30-34,2002,2002,"Dec., 2002",2002/12,13,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Jan., 1999",1999/01,15,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Mar., 1999",1999/03,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Apr., 1999",1999/04,17,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"May, 1999",1999/05,14,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Jun., 1999",1999/06,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Jul., 1999",1999/07,13,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Aug., 1999",1999/08,18,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Sep., 1999",1999/09,16,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Nov., 1999",1999/11,13,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,1999,1999,"Dec., 1999",1999/12,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2000,2000,"Jan., 2000",2000/01,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2000,2000,"Mar., 2000",2000/03,15,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2000,2000,"Apr., 2000",2000/04,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2000,2000,"May, 2000",2000/05,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2000,2000,"Jun., 2000",2000/06,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2002,2002,"Jan., 2002",2002/01,13,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2002,2002,"Feb., 2002",2002/02,15,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2002,2002,"Mar., 2002",2002/03,10,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2002,2002,"Apr., 2002",2002/04,11,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
"",California,06,Female,F,35-39 years,35-39,2002,2002,"May, 2002",2002/05,16,Not Applicable,Not Applicable,WONDER-SEX-5Yr-State-1999-2002.xls,1999,2002
