Age Groups,Age Code
< 1 year,1
5-9 years,5-9
15-19 years,15-19
20-24 years,20-24
25-29 years,25-29
30-34 years,30-34
35-39 years,35-39
40-44 years,40-44
45-49 years,45-49
50-54 years,50-54
55-59 years,55-59
60-64 years,60-64
65-69 years,65-69
70-74 years,70-74
75-79 years,75-79
80-84 years,80-84
85-89 years,85-89
90-94 years,90-94
95-99 years,95-99
100+ years,100+
Not Stated,NS
1-4 years,1-4
10-14 years,10-14
5-14 years,5-14
15-24 years,15-24
25-34 years,25-34
35-44 years,35-44
45-54 years,45-54
55-64 years,55-64
65-74 years,65-74
75-84 years,75-84
85+ years,85+
