"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","15-24 years","15-24",15,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","25-34 years","25-34",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","35-44 years","35-44",28,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","45-54 years","45-54",44,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","55-64 years","55-64",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","75-84 years","75-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jan., 2011","2011/01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","25-34 years","25-34",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","35-44 years","35-44",41,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","45-54 years","45-54",50,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","55-64 years","55-64",22,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","65-74 years","65-74",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Feb., 2011","2011/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","15-24 years","15-24",16,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","25-34 years","25-34",33,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","35-44 years","35-44",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","45-54 years","45-54",44,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","55-64 years","55-64",23,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Mar., 2011","2011/03","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Apr., 2011","2011/04","< 1 year","1",0,Not Applicable,Not Applicable
