"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","20-24 years","20-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","25-29 years","25-29",18,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","30-34 years","30-34",14,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","35-39 years","35-39",15,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","40-44 years","40-44",29,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","45-49 years","45-49",24,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","50-54 years","50-54",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","55-59 years","55-59",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","60-64 years ","60-64",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","70-74 years","70-74",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","75-79 years","75-79",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","90-94 years","90-94",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jan., 2010","2010/01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","20-24 years","20-24",11,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","25-29 years","25-29",14,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","30-34 years","30-34",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","35-39 years","35-39",11,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","40-44 years","40-44",20,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","45-49 years","45-49",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","50-54 years","50-54",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","55-59 years","55-59",11,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","60-64 years ","60-64",10,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","70-74 years","70-74",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","75-79 years","75-79",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","90-94 years","90-94",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Feb., 2010","2010/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Mar., 2010","2010/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Mar., 2010","2010/03","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Mar., 2010","2010/03","5-9 years","5-9",0,Not Applicable,Not Applicable
