Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,Female,F,99,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,Male,M,233,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,Female,F,107,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,Male,M,235,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,Female,F,118,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,Male,M,197,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,Female,F,93,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,Male,M,247,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,Female,F,101,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,Male,M,236,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,Female,F,107,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,Male,M,251,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,Female,F,98,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,Male,M,270,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,Female,F,96,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,Male,M,215,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,Female,F,79,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,Male,M,219,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,Female,F,96,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,Male,M,204,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,Female,F,87,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,Male,M,193,Not Applicable,Not Applicable
