Census Division Code,Month Code,Sex Code,Age Group Code,Deaths,Year,Census Division,Age Groups
CENS-D1,1999/01,F,1,Suppressed,1999,Division 1: New England,< 1 year
CENS-D1,1999/02,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/03,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/04,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/05,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/06,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/07,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/08,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/09,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/10,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/11,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,1999/12,F,1,0,1999,Division 1: New England,< 1 year
CENS-D1,2000/01,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/02,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/03,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/04,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/05,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/06,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/07,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/08,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/09,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/10,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/11,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2000/12,F,1,0,2000,Division 1: New England,< 1 year
CENS-D1,2001/01,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/02,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/03,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/04,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/05,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/06,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/07,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/08,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/09,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/10,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/11,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2001/12,F,1,0,2001,Division 1: New England,< 1 year
CENS-D1,2002/01,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/02,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/03,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/04,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/05,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/06,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/07,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/08,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/09,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/10,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/11,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2002/12,F,1,0,2002,Division 1: New England,< 1 year
CENS-D1,2003/01,F,1,0,2003,Division 1: New England,< 1 year
CENS-D1,2003/02,F,1,0,2003,Division 1: New England,< 1 year
CENS-D1,2003/03,F,1,0,2003,Division 1: New England,< 1 year
CENS-D1,2003/04,F,1,0,2003,Division 1: New England,< 1 year
CENS-D1,2003/05,F,1,0,2003,Division 1: New England,< 1 year
CENS-D1,2003/06,F,1,0,2003,Division 1: New England,< 1 year
