Census Region Code,Month Code,Sex Code,Age Group Code,Deaths,Year,Census Region,Age Groups
CENS-R1,1999/01,F,1,Suppressed,1999,Census Region 1: Northeast,< 1 year
CENS-R1,2000/07,F,1,Suppressed,2000,Census Region 1: Northeast,< 1 year
CENS-R1,2001/08,F,1,Suppressed,2001,Census Region 1: Northeast,< 1 year
CENS-R1,2002/04,F,1,Suppressed,2002,Census Region 1: Northeast,< 1 year
CENS-R1,2003/03,F,1,Suppressed,2003,Census Region 1: Northeast,< 1 year
CENS-R1,2003/11,F,1,Suppressed,2003,Census Region 1: Northeast,< 1 year
CENS-R1,2004/11,F,1,Suppressed,2004,Census Region 1: Northeast,< 1 year
CENS-R1,2005/04,F,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2005/08,F,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2005/12,F,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2006/01,F,1,Suppressed,2006,Census Region 1: Northeast,< 1 year
CENS-R1,2006/12,F,1,Suppressed,2006,Census Region 1: Northeast,< 1 year
CENS-R1,2007/04,F,1,Suppressed,2007,Census Region 1: Northeast,< 1 year
CENS-R1,2007/08,F,1,Suppressed,2007,Census Region 1: Northeast,< 1 year
CENS-R1,2008/04,F,1,Suppressed,2008,Census Region 1: Northeast,< 1 year
CENS-R1,2008/07,F,1,Suppressed,2008,Census Region 1: Northeast,< 1 year
CENS-R1,2008/08,F,1,Suppressed,2008,Census Region 1: Northeast,< 1 year
CENS-R1,2009/06,F,1,Suppressed,2009,Census Region 1: Northeast,< 1 year
CENS-R1,2009/12,F,1,Suppressed,2009,Census Region 1: Northeast,< 1 year
CENS-R1,2010/11,F,1,Suppressed,2010,Census Region 1: Northeast,< 1 year
CENS-R1,1999/08,F,1-4,Suppressed,1999,Census Region 1: Northeast,1-4 years
CENS-R1,2001/02,F,1-4,Suppressed,2001,Census Region 1: Northeast,1-4 years
CENS-R1,2002/03,F,1-4,Suppressed,2002,Census Region 1: Northeast,1-4 years
CENS-R1,2003/06,F,1-4,Suppressed,2003,Census Region 1: Northeast,1-4 years
CENS-R1,2004/01,F,1-4,Suppressed,2004,Census Region 1: Northeast,1-4 years
CENS-R1,2006/01,F,1-4,Suppressed,2006,Census Region 1: Northeast,1-4 years
CENS-R1,2006/04,F,1-4,Suppressed,2006,Census Region 1: Northeast,1-4 years
CENS-R1,2007/01,F,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2007/02,F,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2007/11,F,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2008/01,F,1-4,Suppressed,2008,Census Region 1: Northeast,1-4 years
CENS-R1,2008/03,F,1-4,Suppressed,2008,Census Region 1: Northeast,1-4 years
CENS-R1,2009/01,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/04,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/05,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/07,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/10,F,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2010/04,F,1-4,Suppressed,2010,Census Region 1: Northeast,1-4 years
CENS-R1,2010/11,F,1-4,Suppressed,2010,Census Region 1: Northeast,1-4 years
CENS-R1,1999/01,F,NS,Suppressed,1999,Census Region 1: Northeast,Not Stated
CENS-R1,1999/12,F,NS,Suppressed,1999,Census Region 1: Northeast,Not Stated
CENS-R1,2000/02,M,1,Suppressed,2000,Census Region 1: Northeast,< 1 year
CENS-R1,2000/08,M,1,Suppressed,2000,Census Region 1: Northeast,< 1 year
CENS-R1,2001/11,M,1,Suppressed,2001,Census Region 1: Northeast,< 1 year
CENS-R1,2002/02,M,1,Suppressed,2002,Census Region 1: Northeast,< 1 year
CENS-R1,2002/03,M,1,Suppressed,2002,Census Region 1: Northeast,< 1 year
CENS-R1,2003/07,M,1,Suppressed,2003,Census Region 1: Northeast,< 1 year
CENS-R1,2004/01,M,1,Suppressed,2004,Census Region 1: Northeast,< 1 year
CENS-R1,2004/06,M,1,Suppressed,2004,Census Region 1: Northeast,< 1 year
CENS-R1,2004/08,M,1,Suppressed,2004,Census Region 1: Northeast,< 1 year
CENS-R1,2004/10,M,1,Suppressed,2004,Census Region 1: Northeast,< 1 year
CENS-R1,2005/05,M,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2005/12,M,1,Suppressed,2005,Census Region 1: Northeast,< 1 year
CENS-R1,2006/01,M,1,Suppressed,2006,Census Region 1: Northeast,< 1 year
CENS-R1,2007/04,M,1,Suppressed,2007,Census Region 1: Northeast,< 1 year
CENS-R1,2008/03,M,1,Suppressed,2008,Census Region 1: Northeast,< 1 year
CENS-R1,2009/06,M,1,Suppressed,2009,Census Region 1: Northeast,< 1 year
CENS-R1,2010/09,M,1,Suppressed,2010,Census Region 1: Northeast,< 1 year
CENS-R1,2010/10,M,1,Suppressed,2010,Census Region 1: Northeast,< 1 year
CENS-R1,2000/07,M,1-4,Suppressed,2000,Census Region 1: Northeast,1-4 years
CENS-R1,2001/02,M,1-4,Suppressed,2001,Census Region 1: Northeast,1-4 years
CENS-R1,2001/03,M,1-4,Suppressed,2001,Census Region 1: Northeast,1-4 years
CENS-R1,2001/06,M,1-4,Suppressed,2001,Census Region 1: Northeast,1-4 years
CENS-R1,2001/10,M,1-4,Suppressed,2001,Census Region 1: Northeast,1-4 years
CENS-R1,2002/03,M,1-4,Suppressed,2002,Census Region 1: Northeast,1-4 years
CENS-R1,2002/04,M,1-4,Suppressed,2002,Census Region 1: Northeast,1-4 years
CENS-R1,2002/10,M,1-4,Suppressed,2002,Census Region 1: Northeast,1-4 years
CENS-R1,2002/12,M,1-4,Suppressed,2002,Census Region 1: Northeast,1-4 years
CENS-R1,2003/04,M,1-4,Suppressed,2003,Census Region 1: Northeast,1-4 years
CENS-R1,2004/03,M,1-4,Suppressed,2004,Census Region 1: Northeast,1-4 years
CENS-R1,2004/05,M,1-4,Suppressed,2004,Census Region 1: Northeast,1-4 years
CENS-R1,2005/03,M,1-4,Suppressed,2005,Census Region 1: Northeast,1-4 years
CENS-R1,2006/09,M,1-4,Suppressed,2006,Census Region 1: Northeast,1-4 years
CENS-R1,2007/03,M,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2007/09,M,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2007/10,M,1-4,Suppressed,2007,Census Region 1: Northeast,1-4 years
CENS-R1,2008/01,M,1-4,Suppressed,2008,Census Region 1: Northeast,1-4 years
CENS-R1,2008/06,M,1-4,Suppressed,2008,Census Region 1: Northeast,1-4 years
CENS-R1,2009/01,M,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2009/03,M,1-4,Suppressed,2009,Census Region 1: Northeast,1-4 years
CENS-R1,2010/02,M,1-4,Suppressed,2010,Census Region 1: Northeast,1-4 years
CENS-R1,1999/06,M,NS,Suppressed,1999,Census Region 1: Northeast,Not Stated
CENS-R1,1999/09,M,NS,Suppressed,1999,Census Region 1: Northeast,Not Stated
CENS-R1,2000/01,M,NS,Suppressed,2000,Census Region 1: Northeast,Not Stated
CENS-R1,2000/02,M,NS,Suppressed,2000,Census Region 1: Northeast,Not Stated
CENS-R1,2000/04,M,NS,Suppressed,2000,Census Region 1: Northeast,Not Stated
CENS-R1,2001/06,M,NS,Suppressed,2001,Census Region 1: Northeast,Not Stated
CENS-R1,2001/07,M,NS,Suppressed,2001,Census Region 1: Northeast,Not Stated
CENS-R1,2001/08,M,NS,Suppressed,2001,Census Region 1: Northeast,Not Stated
CENS-R1,2002/02,M,NS,Suppressed,2002,Census Region 1: Northeast,Not Stated
CENS-R1,2002/04,M,NS,Suppressed,2002,Census Region 1: Northeast,Not Stated
CENS-R1,2003/07,M,NS,Suppressed,2003,Census Region 1: Northeast,Not Stated
CENS-R1,2006/01,M,NS,Suppressed,2006,Census Region 1: Northeast,Not Stated
CENS-R1,2006/08,M,NS,Suppressed,2006,Census Region 1: Northeast,Not Stated
CENS-R1,2007/11,M,NS,Suppressed,2007,Census Region 1: Northeast,Not Stated
CENS-R1,2009/10,M,NS,Suppressed,2009,Census Region 1: Northeast,Not Stated
CENS-R1,2010/05,M,NS,Suppressed,2010,Census Region 1: Northeast,Not Stated
CENS-R2,2000/05,F,1,Suppressed,2000,Census Region 2: Midwest,< 1 year
CENS-R2,2000/07,F,1,Suppressed,2000,Census Region 2: Midwest,< 1 year
CENS-R2,2001/01,F,1,Suppressed,2001,Census Region 2: Midwest,< 1 year
CENS-R2,2001/10,F,1,Suppressed,2001,Census Region 2: Midwest,< 1 year
CENS-R2,2004/01,F,1,Suppressed,2004,Census Region 2: Midwest,< 1 year
CENS-R2,2004/12,F,1,Suppressed,2004,Census Region 2: Midwest,< 1 year
CENS-R2,2005/01,F,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2005/10,F,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2005/12,F,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2006/03,F,1,Suppressed,2006,Census Region 2: Midwest,< 1 year
CENS-R2,2006/04,F,1,Suppressed,2006,Census Region 2: Midwest,< 1 year
CENS-R2,2006/09,F,1,Suppressed,2006,Census Region 2: Midwest,< 1 year
CENS-R2,2006/11,F,1,Suppressed,2006,Census Region 2: Midwest,< 1 year
CENS-R2,2007/03,F,1,Suppressed,2007,Census Region 2: Midwest,< 1 year
CENS-R2,2007/05,F,1,Suppressed,2007,Census Region 2: Midwest,< 1 year
CENS-R2,2007/08,F,1,Suppressed,2007,Census Region 2: Midwest,< 1 year
CENS-R2,2008/05,F,1,Suppressed,2008,Census Region 2: Midwest,< 1 year
