Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,< 1 year,1,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,5-14 years,5-14,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,15-24 years,15-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,25-34 years,25-34,26,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,35-44 years,35-44,37,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,45-54 years,45-54,24,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,65-74 years,65-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,5-14 years,5-14,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,15-24 years,15-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,25-34 years,25-34,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,35-44 years,35-44,42,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,45-54 years,45-54,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,65-74 years,65-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,5-14 years,5-14,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,15-24 years,15-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,25-34 years,25-34,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,35-44 years,35-44,37,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,45-54 years,45-54,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,55-64 years,55-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,65-74 years,65-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,75-84 years,75-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,85+ years,85+,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,1-4 years,1-4,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,5-14 years,5-14,0,Not Applicable,Not Applicable
