Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,332,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,342,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,315,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,340,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,337,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jun., 1999",1999/06,358,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,368,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,311,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,298,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,300,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,280,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,318,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,365,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,340,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,361,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,332,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,368,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jun., 2000",2000/06,337,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jul., 2000",2000/07,308,Not Applicable,Not Applicable
