"Notes","Single-Year Ages","Single-Year Ages Code","Census Region","Census Region Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","0","Census Region 1: Northeast","CENS-R1",2804,610408,459.4,442.4,476.4,8.7
,"< 1 year","0","Census Region 2: Midwest","CENS-R2",5020,801327,626.5,609.1,643.8,8.8
,"< 1 year","0","Census Region 3: South","CENS-R3",9424,1494786,630.5,617.7,643.2,6.5
,"< 1 year","0","Census Region 4: West","CENS-R4",4219,941687,448.0,434.5,461.5,6.9
,"1 year","1","Census Region 1: Northeast","CENS-R1",178,617454,28.8,24.6,33.1,2.2
,"1 year","1","Census Region 2: Midwest","CENS-R2",320,818083,39.1,34.8,43.4,2.2
,"1 year","1","Census Region 3: South","CENS-R3",636,1525836,41.7,38.4,44.9,1.7
,"1 year","1","Census Region 4: West","CENS-R4",314,951527,33.0,29.3,36.6,1.9
,"2 years","2","Census Region 1: Northeast","CENS-R1",120,627858,19.1,15.7,22.5,1.7
,"2 years","2","Census Region 2: Midwest","CENS-R2",226,836819,27.0,23.5,30.5,1.8
,"2 years","2","Census Region 3: South","CENS-R3",487,1558257,31.3,28.5,34.0,1.4
,"2 years","2","Census Region 4: West","CENS-R4",214,968503,22.1,19.1,25.1,1.5
,"3 years","3","Census Region 1: Northeast","CENS-R1",93,632737,14.7,11.9,18.0,1.5
,"3 years","3","Census Region 2: Midwest","CENS-R2",163,845906,19.3,16.3,22.2,1.5
,"3 years","3","Census Region 3: South","CENS-R3",350,1572495,22.3,19.9,24.6,1.2
,"3 years","3","Census Region 4: West","CENS-R4",139,985424,14.1,11.8,16.5,1.2
,"4 years","4","Census Region 1: Northeast","CENS-R1",64,629301,10.2,7.8,13.0,1.3
,"4 years","4","Census Region 2: Midwest","CENS-R2",134,843714,15.9,13.2,18.6,1.4
,"4 years","4","Census Region 3: South","CENS-R3",280,1565438,17.9,15.8,20.0,1.1
,"4 years","4","Census Region 4: West","CENS-R4",112,982715,11.4,9.3,13.5,1.1
,"5 years","5","Census Region 1: Northeast","CENS-R1",66,631182,10.5,8.1,13.3,1.3
,"5 years","5","Census Region 2: Midwest","CENS-R2",124,840956,14.7,12.1,17.3,1.3
,"5 years","5","Census Region 3: South","CENS-R3",220,1553471,14.2,12.3,16.0,1.0
,"5 years","5","Census Region 4: West","CENS-R4",114,984509,11.6,9.5,13.7,1.1
,"6 years","6","Census Region 1: Northeast","CENS-R1",65,632561,10.3,7.9,13.1,1.3
,"6 years","6","Census Region 2: Midwest","CENS-R2",101,841019,12.0,9.7,14.4,1.2
,"6 years","6","Census Region 3: South","CENS-R3",194,1561109,12.4,10.7,14.2,0.9
,"6 years","6","Census Region 4: West","CENS-R4",100,980570,10.2,8.2,12.2,1.0
,"7 years","7","Census Region 1: Northeast","CENS-R1",66,641176,10.3,8.0,13.1,1.3
,"7 years","7","Census Region 2: Midwest","CENS-R2",83,844002,9.8,7.8,12.2,1.1
,"7 years","7","Census Region 3: South","CENS-R3",196,1573700,12.5,10.7,14.2,0.9
,"7 years","7","Census Region 4: West","CENS-R4",74,1000485,7.4,5.8,9.3,0.9
,"8 years","8","Census Region 1: Northeast","CENS-R1",65,634078,10.3,7.9,13.1,1.3
,"8 years","8","Census Region 2: Midwest","CENS-R2",93,853439,10.9,8.8,13.3,1.1
,"8 years","8","Census Region 3: South","CENS-R3",203,1577362,12.9,11.1,14.6,0.9
,"8 years","8","Census Region 4: West","CENS-R4",96,990745,9.7,7.8,11.8,1.0
,"9 years","9","Census Region 1: Northeast","CENS-R1",67,628594,10.7,8.3,13.5,1.3
,"9 years","9","Census Region 2: Midwest","CENS-R2",108,853812,12.6,10.3,15.0,1.2
,"9 years","9","Census Region 3: South","CENS-R3",204,1582339,12.9,11.1,14.7,0.9
,"9 years","9","Census Region 4: West","CENS-R4",91,990533,9.2,7.4,11.3,1.0
,"10 years","10","Census Region 1: Northeast","CENS-R1",71,647851,11.0,8.6,13.8,1.3
,"10 years","10","Census Region 2: Midwest","CENS-R2",109,877184,12.4,10.1,14.8,1.2
,"10 years","10","Census Region 3: South","CENS-R3",194,1634271,11.9,10.2,13.5,0.9
,"10 years","10","Census Region 4: West","CENS-R4",97,1024771,9.5,7.7,11.5,1.0
,"11 years","11","Census Region 1: Northeast","CENS-R1",69,652499,10.6,8.2,13.4,1.3
,"11 years","11","Census Region 2: Midwest","CENS-R2",108,883992,12.2,9.9,14.5,1.2
,"11 years","11","Census Region 3: South","CENS-R3",204,1640460,12.4,10.7,14.1,0.9
,"11 years","11","Census Region 4: West","CENS-R4",113,1026056,11.0,9.0,13.0,1.0
,"12 years","12","Census Region 1: Northeast","CENS-R1",85,652585,13.0,10.4,16.1,1.4
,"12 years","12","Census Region 2: Midwest","CENS-R2",136,880849,15.4,12.8,18.0,1.3
,"12 years","12","Census Region 3: South","CENS-R3",245,1622606,15.1,13.2,17.0,1.0
,"12 years","12","Census Region 4: West","CENS-R4",123,1012445,12.1,10.0,14.3,1.1
,"13 years","13","Census Region 1: Northeast","CENS-R1",80,659072,12.1,9.6,15.1,1.4
,"13 years","13","Census Region 2: Midwest","CENS-R2",167,878952,19.0,16.1,21.9,1.5
