"Notes","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","0",21467,3848208,557.8,550.4,565.3,3.8
,"1 year","1",1448,3912900,37.0,35.1,38.9,1.0
,"2 years","2",1047,3991437,26.2,24.6,27.8,0.8
,"3 years","3",745,4036562,18.5,17.1,19.8,0.7
,"4 years","4",590,4021168,14.7,13.5,15.9,0.6
,"5 years","5",524,4010118,13.1,11.9,14.2,0.6
,"6 years","6",460,4015259,11.5,10.4,12.5,0.5
,"7 years","7",419,4059363,10.3,9.3,11.3,0.5
,"8 years","8",457,4055624,11.3,10.2,12.3,0.5
,"9 years","9",470,4055278,11.6,10.5,12.6,0.5
,"10 years","10",471,4184077,11.3,10.2,12.3,0.5
,"11 years","11",494,4203007,11.8,10.7,12.8,0.5
,"12 years","12",589,4168485,14.1,13.0,15.3,0.6
,"13 years","13",676,4156887,16.3,15.0,17.5,0.6
,"14 years","14",890,4167071,21.4,20.0,22.8,0.7
,"15 years","15",1186,4141218,28.6,27.0,30.3,0.8
,"16 years","16",1493,4130744,36.1,34.3,38.0,0.9
,"17 years","17",2028,4241936,47.8,45.7,49.9,1.1
,"18 years","18",2701,4319722,62.5,60.2,64.9,1.2
,"19 years","19",2972,4263601,69.7,67.2,72.2,1.3
,"20 years","20",3273,4273822,76.6,74.0,79.2,1.3
,"21 years","21",3721,4292514,86.7,83.9,89.5,1.4
,"22 years","22",3960,4334743,91.4,88.5,94.2,1.5
,"23 years","23",4252,4438724,95.8,92.9,98.7,1.5
,"24 years","24",4568,4533776,100.8,97.8,103.7,1.5
,"25 years","25",4844,4606281,105.2,102.2,108.1,1.5
,"26 years","26",5230,4728714,110.6,107.6,113.6,1.5
,"27 years","27",5699,4813980,118.4,115.3,121.5,1.6
,"28 years","28",5829,4801711,121.4,118.3,124.5,1.6
,"29 years","29",5859,4611070,127.1,123.8,130.3,1.7
,"30 years","30",6100,4501282,135.5,132.1,138.9,1.7
,"31 years","31",5959,4421549,134.8,131.3,138.2,1.7
,"32 years","32",6299,4433749,142.1,138.6,145.6,1.8
,"33 years","33",6478,4461246,145.2,141.7,148.7,1.8
,"34 years","34",6547,4318192,151.6,147.9,155.3,1.9
,"35 years","35",7090,4376401,162.0,158.2,165.8,1.9
,"36 years","36",7205,4366923,165.0,161.2,168.8,1.9
,"37 years","37",7463,4313086,173.0,169.1,177.0,2.0
,"38 years","38",7835,4391406,178.4,174.5,182.4,2.0
,"39 years","39",8024,4115771,195.0,190.7,199.2,2.2
,"40 years","40",7907,4031314,196.1,191.8,200.5,2.2
,"41 years","41",8185,3986156,205.3,200.9,209.8,2.3
,"42 years","42",8293,3866067,214.5,209.9,219.1,2.4
,"43 years","43",8902,3979609,223.7,219.0,228.3,2.4
,"44 years","44",9476,3851155,246.1,241.1,251.0,2.5
,"45 years","45",10509,3904041,269.2,264.0,274.3,2.6
,"46 years","46",11925,4074459,292.7,287.4,297.9,2.7
,"47 years","47",13249,4301318,308.0,302.8,313.3,2.7
