"Notes","Census Division","Census Division Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Division 1: New England","CENS-D1","Female","F","1999","1999",164,7143107,2.3,1.9,2.6,0.2,2.3,1.9,2.6,0.2
,"Division 1: New England","CENS-D1","Female","F","2000","2000",138,7184414,1.9,1.6,2.2,0.2,1.9,1.6,2.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2001","2001",236,7239348,3.3,2.8,3.7,0.2,3.3,2.8,3.7,0.2
,"Division 1: New England","CENS-D1","Female","F","2002","2002",270,7273891,3.7,3.3,4.2,0.2,3.7,3.3,4.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2003","2003",274,7301274,3.8,3.3,4.2,0.2,3.8,3.3,4.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2004","2004",276,7309874,3.8,3.3,4.2,0.2,3.8,3.3,4.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2005","2005",337,7311368,4.6,4.1,5.1,0.3,4.6,4.1,5.1,0.3
,"Division 1: New England","CENS-D1","Female","F","2006","2006",365,7324214,5.0,4.5,5.5,0.3,4.9,4.4,5.4,0.3
,"Division 1: New England","CENS-D1","Female","F","2007","2007",415,7339451,5.7,5.1,6.2,0.3,5.6,5.0,6.1,0.3
,"Division 1: New England","CENS-D1","Female","F","2008","2008",371,7369602,5.0,4.5,5.5,0.3,4.9,4.4,5.4,0.3
,"Division 1: New England","CENS-D1","Female","F","2009","2009",371,7402099,5.0,4.5,5.5,0.3,4.8,4.3,5.3,0.3
,"Division 1: New England","CENS-D1","Female","F","2010","2010",366,7422567,4.9,4.4,5.4,0.3,4.9,4.4,5.4,0.3
,"Division 1: New England","CENS-D1","Female","F","2011","2011",432,7439990,5.8,5.3,6.4,0.3,5.7,5.2,6.3,0.3
,"Division 1: New England","CENS-D1","Female","F","2012","2012",411,7472846,5.5,5.0,6.0,0.3,5.5,5.0,6.1,0.3
,"Division 1: New England","CENS-D1","Female","F","2013","2013",575,7497291,7.7,7.0,8.3,0.3,7.6,7.0,8.3,0.3
,"Division 1: New England","CENS-D1","Female","F","2014","2014",718,7528397,9.5,8.8,10.2,0.4,9.7,9.0,10.5,0.4
,"Division 1: New England","CENS-D1","Female","F","2015","2015",850,7550331,11.3,10.5,12.0,0.4,11.4,10.6,12.2,0.4
,"Division 1: New England","CENS-D1","Female","F","2016","2016",1096,7549267,14.5,13.7,15.4,0.4,14.9,14.0,15.8,0.5
,"Division 1: New England","CENS-D1","Female","F","2017","2017",1038,7585060,13.7,12.9,14.5,0.4,14.1,13.2,14.9,0.4
,"Division 1: New England","CENS-D1","Female","F","2018","2018",1083,7608144,14.2,13.4,15.1,0.4,14.8,13.9,15.7,0.5
,"Division 1: New England","CENS-D1","Female","F","2019","2019",1075,7604182,14.1,13.3,15.0,0.4,14.6,13.7,15.5,0.5
,"Division 1: New England","CENS-D1","Female","F","2020","2020",1217,7604537,16.0,15.1,16.9,0.5,16.8,15.8,17.7,0.5
"Total","Division 1: New England","CENS-D1","Female","F",,,12078,163061254,7.4,7.3,7.5,0.1,7.4,7.3,7.6,0.1
,"Division 1: New England","CENS-D1","Male","M","1999","1999",430,6694546,6.4,5.8,7.0,0.3,6.2,5.6,6.8,0.3
,"Division 1: New England","CENS-D1","Male","M","2000","2000",490,6738103,7.3,6.6,7.9,0.3,7.0,6.4,7.7,0.3
,"Division 1: New England","CENS-D1","Male","M","2001","2001",630,6801695,9.3,8.5,10.0,0.4,9.0,8.3,9.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2002","2002",665,6848550,9.7,9.0,10.4,0.4,9.5,8.8,10.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2003","2003",803,6881180,11.7,10.9,12.5,0.4,11.4,10.6,12.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2004","2004",676,6896809,9.8,9.1,10.5,0.4,9.7,9.0,10.4,0.4
,"Division 1: New England","CENS-D1","Male","M","2005","2005",757,6905288,11.0,10.2,11.7,0.4,10.8,10.0,11.5,0.4
,"Division 1: New England","CENS-D1","Male","M","2006","2006",902,6921326,13.0,12.2,13.9,0.4,12.8,12.0,13.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2007","2007",864,6939754,12.5,11.6,13.3,0.4,12.3,11.5,13.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2008","2008",844,6970513,12.1,11.3,12.9,0.4,12.0,11.2,12.8,0.4
,"Division 1: New England","CENS-D1","Male","M","2009","2009",861,7001476,12.3,11.5,13.1,0.4,12.2,11.4,13.1,0.4
,"Division 1: New England","CENS-D1","Male","M","2010","2010",766,7022298,10.9,10.1,11.7,0.4,10.9,10.1,11.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2011","2011",868,7052370,12.3,11.5,13.1,0.4,12.3,11.5,13.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2012","2012",909,7089858,12.8,12.0,13.7,0.4,12.9,12.0,13.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2013","2013",1294,7121515,18.2,17.2,19.2,0.5,18.3,17.3,19.3,0.5
,"Division 1: New England","CENS-D1","Male","M","2014","2014",1684,7152325,23.5,22.4,24.7,0.6,24.0,22.8,25.2,0.6
