"Notes","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Census Region 1: Northeast","CENS-R1","1999","1999",3512,53343775,6.6,6.4,6.8,0.1,6.5,6.3,6.7,0.1
,"Census Region 1: Northeast","CENS-R1","2000","2000",3556,53594378,6.6,6.4,6.9,0.1,6.6,6.3,6.8,0.1
,"Census Region 1: Northeast","CENS-R1","2001","2001",4056,53915522,7.5,7.3,7.8,0.1,7.4,7.2,7.7,0.1
,"Census Region 1: Northeast","CENS-R1","2002","2002",4288,54143915,7.9,7.7,8.2,0.1,7.9,7.6,8.1,0.1
,"Census Region 1: Northeast","CENS-R1","2003","2003",4667,54334453,8.6,8.3,8.8,0.1,8.5,8.3,8.8,0.1
,"Census Region 1: Northeast","CENS-R1","2004","2004",4387,54423533,8.1,7.8,8.3,0.1,8.0,7.8,8.2,0.1
,"Census Region 1: Northeast","CENS-R1","2005","2005",4969,54451230,9.1,8.9,9.4,0.1,9.0,8.8,9.3,0.1
,"Census Region 1: Northeast","CENS-R1","2006","2006",6100,54522659,11.2,10.9,11.5,0.1,11.1,10.8,11.3,0.1
,"Census Region 1: Northeast","CENS-R1","2007","2007",6069,54653362,11.1,10.8,11.4,0.1,10.9,10.7,11.2,0.1
,"Census Region 1: Northeast","CENS-R1","2008","2008",5961,54875926,10.9,10.6,11.1,0.1,10.7,10.4,11.0,0.1
,"Census Region 1: Northeast","CENS-R1","2009","2009",5530,55133101,10.0,9.8,10.3,0.1,9.9,9.6,10.1,0.1
,"Census Region 1: Northeast","CENS-R1","2010","2010",5967,55317240,10.8,10.5,11.1,0.1,10.6,10.3,10.9,0.1
,"Census Region 1: Northeast","CENS-R1","2011","2011",7147,55521598,12.9,12.6,13.2,0.2,12.7,12.4,13.0,0.2
,"Census Region 1: Northeast","CENS-R1","2012","2012",7580,55761091,13.6,13.3,13.9,0.2,13.5,13.1,13.8,0.2
,"Census Region 1: Northeast","CENS-R1","2013","2013",8403,55943073,15.0,14.7,15.3,0.2,14.8,14.5,15.1,0.2
