Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,15-19 years,15-19,Female,F,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,15-19 years,15-19,Male,M,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,20-24 years,20-24,Female,F,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,20-24 years,20-24,Male,M,36,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,25-29 years,25-29,Female,F,18,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,25-29 years,25-29,Male,M,36,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,30-34 years,30-34,Female,F,28,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,30-34 years,30-34,Male,M,59,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,35-39 years,35-39,Female,F,43,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,35-39 years,35-39,Male,M,80,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,40-44 years,40-44,Female,F,69,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,40-44 years,40-44,Male,M,118,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,45-49 years,45-49,Female,F,93,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,45-49 years,45-49,Male,M,149,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,50-54 years,50-54,Female,F,149,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jan., 1999",1999/01,50-54 years,50-54,Male,M,233,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,15-19 years,15-19,Female,F,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,15-19 years,15-19,Male,M,22,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,20-24 years,20-24,Female,F,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,20-24 years,20-24,Male,M,24,Not Applicable,Not Applicable
