Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,15-19 years,15-19,Female,F,54,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,15-19 years,15-19,Male,M,92,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,20-24 years,20-24,Female,F,54,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,20-24 years,20-24,Male,M,157,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,25-29 years,25-29,Female,F,85,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,25-29 years,25-29,Male,M,160,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,30-34 years,30-34,Female,F,129,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,30-34 years,30-34,Male,M,229,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,35-39 years,35-39,Female,F,202,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,35-39 years,35-39,Male,M,366,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,40-44 years,40-44,Female,F,326,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,40-44 years,40-44,Male,M,535,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,45-49 years,45-49,Female,F,413,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,45-49 years,45-49,Male,M,711,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,50-54 years,50-54,Female,F,644,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Jan., 1999",1999/01,50-54 years,50-54,Male,M,914,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,15-19 years,15-19,Female,F,43,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,15-19 years,15-19,Male,M,96,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,20-24 years,20-24,Female,F,47,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,20-24 years,20-24,Male,M,113,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,25-29 years,25-29,Female,F,56,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,25-29 years,25-29,Male,M,144,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,30-34 years,30-34,Female,F,111,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,30-34 years,30-34,Male,M,192,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,35-39 years,35-39,Female,F,199,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,35-39 years,35-39,Male,M,317,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,40-44 years,40-44,Female,F,275,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,40-44 years,40-44,Male,M,434,Not Applicable,Not Applicable
