"Notes","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Census Region 1: Northeast","CENS-R1","1999","1999",485976,53343775,911.0,908.5,913.6,1.3,846.5,844.1,848.9,1.2
,"Census Region 1: Northeast","CENS-R1","2000","2000",487831,53594378,910.2,907.7,912.8,1.3,839.8,837.4,842.1,1.2
,"Census Region 1: Northeast","CENS-R1","2001","2001",487718,53915522,904.6,902.1,907.1,1.3,829.5,827.2,831.9,1.2
,"Census Region 1: Northeast","CENS-R1","2002","2002",487268,54143915,899.9,897.4,902.5,1.3,818.7,816.4,821.0,1.2
,"Census Region 1: Northeast","CENS-R1","2003","2003",482660,54334453,888.3,885.8,890.8,1.3,800.8,798.6,803.1,1.2
,"Census Region 1: Northeast","CENS-R1","2004","2004",472835,54423533,868.8,866.3,871.3,1.3,777.6,775.4,779.8,1.1
,"Census Region 1: Northeast","CENS-R1","2005","2005",475398,54451230,873.1,870.6,875.6,1.3,772.3,770.1,774.5,1.1
,"Census Region 1: Northeast","CENS-R1","2006","2006",464503,54522659,851.9,849.5,854.4,1.3,745.4,743.3,747.6,1.1
,"Census Region 1: Northeast","CENS-R1","2007","2007",461712,54653362,844.8,842.4,847.2,1.2,730.3,728.2,732.4,1.1
,"Census Region 1: Northeast","CENS-R1","2008","2008",466256,54875926,849.7,847.2,852.1,1.2,726.8,724.7,728.9,1.1
,"Census Region 1: Northeast","CENS-R1","2009","2009",457548,55133101,829.9,827.5,832.3,1.2,704.4,702.3,706.4,1.1
,"Census Region 1: Northeast","CENS-R1","2010","2010",459708,55317240,831.0,828.6,833.4,1.2,698.6,696.5,700.6,1.0
,"Census Region 1: Northeast","CENS-R1","2011","2011",470043,55521598,846.6,844.2,849.0,1.2,701.7,699.6,703.7,1.0
,"Census Region 1: Northeast","CENS-R1","2012","2012",467444,55761091,838.3,835.9,840.7,1.2,686.3,684.3,688.3,1.0
,"Census Region 1: Northeast","CENS-R1","2013","2013",475519,55943073,850.0,847.6,852.4,1.2,687.2,685.2,689.2,1.0
,"Census Region 1: Northeast","CENS-R1","2014","2014",475173,56152333,846.2,843.8,848.6,1.2,678.2,676.2,680.2,1.0
,"Census Region 1: Northeast","CENS-R1","2015","2015",489383,56283891,869.5,867.1,871.9,1.2,690.4,688.5,692.4,1.0
,"Census Region 1: Northeast","CENS-R1","2016","2016",490086,56209510,871.9,869.5,874.3,1.2,686.6,684.6,688.5,1.0
,"Census Region 1: Northeast","CENS-R1","2017","2017",499319,56470581,884.2,881.8,886.7,1.3,683.5,681.6,685.4,1.0
,"Census Region 1: Northeast","CENS-R1","2018","2018",501631,56111079,894.0,891.5,896.5,1.3,679.2,677.2,681.1,1.0
,"Census Region 1: Northeast","CENS-R1","2019","2019",499764,55982803,892.7,890.2,895.2,1.3,669.5,667.6,671.4,1.0
,"Census Region 1: Northeast","CENS-R1","2020","2020",608684,55849869,1089.9,1087.1,1092.6,1.4,809.6,807.5,811.7,1.1
"Total","Census Region 1: Northeast","CENS-R1",,,10666459,1212994922,879.3,878.8,879.9,0.3,735.7,735.3,736.2,0.2
,"Census Region 2: Midwest","CENS-R2","1999","1999",582146,64100061,908.2,905.9,910.5,1.2,891.3,889.1,893.6,1.2
,"Census Region 2: Midwest","CENS-R2","2000","2000",576843,64392776,895.8,893.5,898.1,1.2,876.3,874.1,878.6,1.2
,"Census Region 2: Midwest","CENS-R2","2001","2001",575007,64776531,887.7,885.4,890.0,1.2,862.9,860.6,865.1,1.1
,"Census Region 2: Midwest","CENS-R2","2002","2002",582582,65018293,896.0,893.7,898.3,1.2,864.9,862.7,867.2,1.1
,"Census Region 2: Midwest","CENS-R2","2003","2003",577852,65276954,885.2,882.9,887.5,1.2,846.7,844.5,848.8,1.1
,"Census Region 2: Midwest","CENS-R2","2004","2004",562728,65532305,858.7,856.5,860.9,1.1,815.6,813.5,817.8,1.1
,"Census Region 2: Midwest","CENS-R2","2005","2005",574733,65751872,874.1,871.8,876.4,1.2,822.3,820.1,824.4,1.1
,"Census Region 2: Midwest","CENS-R2","2006","2006",568288,66028555,860.7,858.4,862.9,1.1,800.3,798.2,802.4,1.1
,"Census Region 2: Midwest","CENS-R2","2007","2007",564665,66293689,851.8,849.5,854.0,1.1,782.4,780.3,784.4,1.0
,"Census Region 2: Midwest","CENS-R2","2008","2008",582258,66523935,875.3,873.0,877.5,1.1,794.7,792.7,796.8,1.0
,"Census Region 2: Midwest","CENS-R2","2009","2009",566666,66748437,849.0,846.7,851.2,1.1,763.8,761.8,765.8,1.0
,"Census Region 2: Midwest","CENS-R2","2010","2010",575429,66927001,859.8,857.6,862.0,1.1,765.4,763.4,767.4,1.0
,"Census Region 2: Midwest","CENS-R2","2011","2011",587176,67158835,874.3,872.1,876.5,1.1,766.3,764.3,768.2,1.0
,"Census Region 2: Midwest","CENS-R2","2012","2012",591222,67316297,878.3,876.0,880.5,1.1,759.3,757.4,761.3,1.0
