"Notes","Census Region","Census Region Code","Year","Year Code","Month","Month Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","< 1 year","0",400,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","1 year","1",17,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","2 years","2",23,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","3 years","3",22,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","4 years","4",17,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","5 years","5",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","6 years","6",11,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","7 years","7",10,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","8 years","8",12,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","9 years","9",11,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","10 years","10",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","11 years","11",10,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","12 years","12",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","13 years","13",12,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","14 years","14",16,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","15 years","15",12,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","16 years","16",20,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","17 years","17",38,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","18 years","18",43,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","19 years","19",33,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","20 years","20",26,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","21 years","21",51,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","22 years","22",49,Not Applicable,Not Applicable
