"Notes","Census Region","Census Region Code","Year","Year Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","1999","1999","1 year","1",243,665859,36.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","2 years","2",193,672522,28.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","3 years","3",172,688810,25.0
,"Census Region 1: Northeast","CENS-R1","1999","1999","4 years","4",141,719600,19.6
,"Census Region 1: Northeast","CENS-R1","1999","1999","5 years","5",100,728894,13.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","6 years","6",103,739339,13.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","7 years","7",106,761064,13.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","8 years","8",120,762651,15.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","9 years","9",103,784767,13.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","10 years","10",101,768145,13.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","11 years","11",114,744135,15.3
,"Census Region 1: Northeast","CENS-R1","1999","1999","12 years","12",96,733585,13.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","13 years","13",129,724447,17.8
,"Census Region 1: Northeast","CENS-R1","1999","1999","14 years","14",155,721448,21.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","15 years","15",190,700817,27.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","16 years","16",284,714545,39.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","17 years","17",411,714460,57.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","18 years","18",457,705600,64.8
,"Census Region 1: Northeast","CENS-R1","1999","1999","19 years","19",527,725389,72.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","20 years","20",487,696123,70.0
,"Census Region 1: Northeast","CENS-R1","1999","1999","21 years","21",564,668260,84.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","22 years","22",484,649228,74.6
,"Census Region 1: Northeast","CENS-R1","1999","1999","23 years","23",497,621281,80.0
,"Census Region 1: Northeast","CENS-R1","1999","1999","24 years","24",508,639213,79.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","25 years","25",452,645330,70.0
,"Census Region 1: Northeast","CENS-R1","1999","1999","26 years","26",500,652386,76.6
,"Census Region 1: Northeast","CENS-R1","1999","1999","27 years","27",555,717157,77.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","28 years","28",583,767775,75.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","29 years","29",622,778810,79.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","30 years","30",660,794243,83.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","31 years","31",681,750525,90.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","32 years","32",867,785032,110.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","33 years","33",902,806408,111.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","34 years","34",999,860936,116.0
,"Census Region 1: Northeast","CENS-R1","1999","1999","35 years","35",1075,901125,119.3
,"Census Region 1: Northeast","CENS-R1","1999","1999","36 years","36",1206,883377,136.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","37 years","37",1291,890637,145.0
,"Census Region 1: Northeast","CENS-R1","1999","1999","38 years","38",1451,887440,163.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","39 years","39",1500,900260,166.6
,"Census Region 1: Northeast","CENS-R1","1999","1999","40 years","40",1541,914985,168.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","41 years","41",1820,876274,207.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","42 years","42",1889,876674,215.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","43 years","43",2001,843342,237.3
,"Census Region 1: Northeast","CENS-R1","1999","1999","44 years","44",2187,828082,264.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","45 years","45",2257,819499,275.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","46 years","46",2354,776158,303.3
,"Census Region 1: Northeast","CENS-R1","1999","1999","47 years","47",2476,767641,322.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","48 years","48",2482,730233,339.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","49 years","49",2685,734297,365.7
,"Census Region 1: Northeast","CENS-R1","1999","1999","50 years","50",2945,739613,398.2
,"Census Region 1: Northeast","CENS-R1","1999","1999","51 years","51",3173,715460,443.5
,"Census Region 1: Northeast","CENS-R1","1999","1999","52 years","52",3548,775080,457.8
,"Census Region 1: Northeast","CENS-R1","1999","1999","53 years","53",3046,563776,540.3
,"Census Region 1: Northeast","CENS-R1","1999","1999","54 years","54",3280,574325,571.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","55 years","55",3584,565875,633.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","56 years","56",4178,591101,706.8
,"Census Region 1: Northeast","CENS-R1","1999","1999","57 years","57",3864,518520,745.2
,"Census Region 1: Northeast","CENS-R1","1999","1999","58 years","58",3892,479960,810.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","59 years","59",4164,454900,915.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","60 years","60",4243,456294,929.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","61 years","61",4606,431750,1066.8
,"Census Region 1: Northeast","CENS-R1","1999","1999","62 years","62",4936,413201,1194.6
,"Census Region 1: Northeast","CENS-R1","1999","1999","63 years","63",5379,410839,1309.3
,"Census Region 1: Northeast","CENS-R1","1999","1999","64 years","64",5847,408904,1429.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","65 years","65",6030,379346,1589.6
,"Census Region 1: Northeast","CENS-R1","1999","1999","66 years","66",6382,378766,1684.9
,"Census Region 1: Northeast","CENS-R1","1999","1999","67 years","67",7074,386054,1832.4
,"Census Region 1: Northeast","CENS-R1","1999","1999","68 years","68",7856,390632,2011.1
,"Census Region 1: Northeast","CENS-R1","1999","1999","69 years","69",8853,390415,2267.6
