"Region","Sex","Age_Group","Age","Year","Month","Deaths","Population","Total_Population"
"Northeast","Female","15-19",15,2005,1,1,1895949,54598185
"Northeast","Female","15-19",15,2005,2,2,1895949,54598185
"Northeast","Female","15-19",15,2005,3,2,1895949,54598185
"Northeast","Female","15-19",15,2005,4,7,1895949,54598185
"Northeast","Female","15-19",15,2005,5,2,1895949,54598185
"Northeast","Female","15-19",15,2005,6,5,1895949,54598185
"Northeast","Female","15-19",15,2005,7,3,1895949,54598185
"Northeast","Female","15-19",15,2005,8,4,1895949,54598185
"Northeast","Female","15-19",15,2005,9,5,1895949,54598185
"Northeast","Female","15-19",15,2005,10,2,1895949,54598185
"Northeast","Female","15-19",15,2005,11,5,1895949,54598185
"Northeast","Female","15-19",15,2005,12,4,1895949,54598185
"Northeast","Female","20-24",20,2005,1,13,1758828,54598185
"Northeast","Female","20-24",20,2005,2,8,1758828,54598185
"Northeast","Female","20-24",20,2005,3,9,1758828,54598185
"Northeast","Female","20-24",20,2005,4,10,1758828,54598185
"Northeast","Female","20-24",20,2005,5,11,1758828,54598185
"Northeast","Female","20-24",20,2005,6,11,1758828,54598185
"Northeast","Female","20-24",20,2005,7,15,1758828,54598185
"Northeast","Female","20-24",20,2005,8,2,1758828,54598185
"Northeast","Female","20-24",20,2005,9,9,1758828,54598185
"Northeast","Female","20-24",20,2005,10,12,1758828,54598185
"Northeast","Female","20-24",20,2005,11,11,1758828,54598185
"Northeast","Female","20-24",20,2005,12,7,1758828,54598185
"Northeast","Female","25-29",25,2005,1,6,1721581,54598185
"Northeast","Female","25-29",25,2005,2,8,1721581,54598185
"Northeast","Female","25-29",25,2005,3,11,1721581,54598185
"Northeast","Female","25-29",25,2005,4,6,1721581,54598185
"Northeast","Female","25-29",25,2005,5,17,1721581,54598185
"Northeast","Female","25-29",25,2005,6,7,1721581,54598185
"Northeast","Female","25-29",25,2005,7,6,1721581,54598185
"Northeast","Female","25-29",25,2005,8,12,1721581,54598185
"Northeast","Female","25-29",25,2005,9,3,1721581,54598185
"Northeast","Female","25-29",25,2005,10,12,1721581,54598185
"Northeast","Female","25-29",25,2005,11,11,1721581,54598185
"Northeast","Female","25-29",25,2005,12,8,1721581,54598185
"Northeast","Female","30-34",30,2005,1,11,1760362,54598185
"Northeast","Female","30-34",30,2005,2,12,1760362,54598185
"Northeast","Female","30-34",30,2005,3,15,1760362,54598185
"Northeast","Female","30-34",30,2005,4,12,1760362,54598185
"Northeast","Female","30-34",30,2005,5,12,1760362,54598185
"Northeast","Female","30-34",30,2005,6,15,1760362,54598185
"Northeast","Female","30-34",30,2005,7,14,1760362,54598185
"Northeast","Female","30-34",30,2005,8,11,1760362,54598185
"Northeast","Female","30-34",30,2005,9,9,1760362,54598185
"Northeast","Female","30-34",30,2005,10,11,1760362,54598185
"Northeast","Female","30-34",30,2005,11,6,1760362,54598185
"Northeast","Female","30-34",30,2005,12,12,1760362,54598185
"Northeast","Female","35-39",35,2005,1,20,2000330,54598185
"Northeast","Female","35-39",35,2005,2,18,2000330,54598185
"Northeast","Female","35-39",35,2005,3,23,2000330,54598185
"Northeast","Female","35-39",35,2005,4,16,2000330,54598185
"Northeast","Female","35-39",35,2005,5,19,2000330,54598185
"Northeast","Female","35-39",35,2005,6,21,2000330,54598185
"Northeast","Female","35-39",35,2005,7,19,2000330,54598185
"Northeast","Female","35-39",35,2005,8,18,2000330,54598185
"Northeast","Female","35-39",35,2005,9,22,2000330,54598185
"Northeast","Female","35-39",35,2005,10,22,2000330,54598185
"Northeast","Female","35-39",35,2005,11,18,2000330,54598185
"Northeast","Female","35-39",35,2005,12,15,2000330,54598185
"Northeast","Female","40-44",40,2005,1,22,2211862,54598185
"Northeast","Female","40-44",40,2005,2,32,2211862,54598185
"Northeast","Female","40-44",40,2005,3,34,2211862,54598185
"Northeast","Female","40-44",40,2005,4,22,2211862,54598185
"Northeast","Female","40-44",40,2005,5,23,2211862,54598185
"Northeast","Female","40-44",40,2005,6,20,2211862,54598185
"Northeast","Female","40-44",40,2005,7,36,2211862,54598185
"Northeast","Female","40-44",40,2005,8,27,2211862,54598185
"Northeast","Female","40-44",40,2005,9,22,2211862,54598185
"Northeast","Female","40-44",40,2005,10,29,2211862,54598185
"Northeast","Female","40-44",40,2005,11,23,2211862,54598185
"Northeast","Female","40-44",40,2005,12,18,2211862,54598185
"Northeast","Female","45-49",45,2005,1,24,2193903,54598185
"Northeast","Female","45-49",45,2005,2,25,2193903,54598185
"Northeast","Female","45-49",45,2005,3,22,2193903,54598185
"Northeast","Female","45-49",45,2005,4,22,2193903,54598185
"Northeast","Female","45-49",45,2005,5,28,2193903,54598185
"Northeast","Female","45-49",45,2005,6,30,2193903,54598185
"Northeast","Female","45-49",45,2005,7,24,2193903,54598185
"Northeast","Female","45-49",45,2005,8,25,2193903,54598185
"Northeast","Female","45-49",45,2005,9,26,2193903,54598185
"Northeast","Female","45-49",45,2005,10,24,2193903,54598185
"Northeast","Female","45-49",45,2005,11,17,2193903,54598185
"Northeast","Female","45-49",45,2005,12,32,2193903,54598185
"Northeast","Female","50-54",50,2005,1,16,1960801,54598185
"Northeast","Female","50-54",50,2005,2,18,1960801,54598185
"Northeast","Female","50-54",50,2005,3,21,1960801,54598185
"Northeast","Female","50-54",50,2005,4,12,1960801,54598185
"Northeast","Female","50-54",50,2005,5,20,1960801,54598185
"Northeast","Female","50-54",50,2005,6,13,1960801,54598185
"Northeast","Female","50-54",50,2005,7,12,1960801,54598185
"Northeast","Female","50-54",50,2005,8,21,1960801,54598185
"Northeast","Female","50-54",50,2005,9,19,1960801,54598185
"Northeast","Female","50-54",50,2005,10,14,1960801,54598185
"Northeast","Female","50-54",50,2005,11,30,1960801,54598185
"Northeast","Female","50-54",50,2005,12,17,1960801,54598185
"Northeast","Male","15-19",15,2005,1,7,1990394,54598185
"Northeast","Male","15-19",15,2005,2,9,1990394,54598185
"Northeast","Male","15-19",15,2005,3,7,1990394,54598185
"Northeast","Male","15-19",15,2005,4,7,1990394,54598185
"Northeast","Male","15-19",15,2005,5,7,1990394,54598185
"Northeast","Male","15-19",15,2005,6,7,1990394,54598185
"Northeast","Male","15-19",15,2005,7,3,1990394,54598185
"Northeast","Male","15-19",15,2005,8,13,1990394,54598185
"Northeast","Male","15-19",15,2005,9,4,1990394,54598185
"Northeast","Male","15-19",15,2005,10,10,1990394,54598185
"Northeast","Male","15-19",15,2005,11,6,1990394,54598185
"Northeast","Male","15-19",15,2005,12,8,1990394,54598185
"Northeast","Male","20-24",20,2005,1,30,1813981,54598185
"Northeast","Male","20-24",20,2005,2,28,1813981,54598185
"Northeast","Male","20-24",20,2005,3,19,1813981,54598185
"Northeast","Male","20-24",20,2005,4,24,1813981,54598185
"Northeast","Male","20-24",20,2005,5,22,1813981,54598185
"Northeast","Male","20-24",20,2005,6,28,1813981,54598185
"Northeast","Male","20-24",20,2005,7,28,1813981,54598185
"Northeast","Male","20-24",20,2005,8,28,1813981,54598185
"Northeast","Male","20-24",20,2005,9,24,1813981,54598185
"Northeast","Male","20-24",20,2005,10,23,1813981,54598185
"Northeast","Male","20-24",20,2005,11,37,1813981,54598185
"Northeast","Male","20-24",20,2005,12,23,1813981,54598185
"Northeast","Male","25-29",25,2005,1,25,1699081,54598185
"Northeast","Male","25-29",25,2005,2,17,1699081,54598185
"Northeast","Male","25-29",25,2005,3,36,1699081,54598185
"Northeast","Male","25-29",25,2005,4,28,1699081,54598185
"Northeast","Male","25-29",25,2005,5,23,1699081,54598185
"Northeast","Male","25-29",25,2005,6,23,1699081,54598185
"Northeast","Male","25-29",25,2005,7,32,1699081,54598185
"Northeast","Male","25-29",25,2005,8,27,1699081,54598185
"Northeast","Male","25-29",25,2005,9,27,1699081,54598185
"Northeast","Male","25-29",25,2005,10,34,1699081,54598185
"Northeast","Male","25-29",25,2005,11,27,1699081,54598185
"Northeast","Male","25-29",25,2005,12,30,1699081,54598185
"Northeast","Male","30-34",30,2005,1,36,1711804,54598185
"Northeast","Male","30-34",30,2005,2,30,1711804,54598185
"Northeast","Male","30-34",30,2005,3,27,1711804,54598185
"Northeast","Male","30-34",30,2005,4,45,1711804,54598185
"Northeast","Male","30-34",30,2005,5,24,1711804,54598185
"Northeast","Male","30-34",30,2005,6,29,1711804,54598185
"Northeast","Male","30-34",30,2005,7,40,1711804,54598185
"Northeast","Male","30-34",30,2005,8,31,1711804,54598185
"Northeast","Male","30-34",30,2005,9,20,1711804,54598185
"Northeast","Male","30-34",30,2005,10,24,1711804,54598185
"Northeast","Male","30-34",30,2005,11,25,1711804,54598185
"Northeast","Male","30-34",30,2005,12,25,1711804,54598185
"Northeast","Male","35-39",35,2005,1,39,1931823,54598185
"Northeast","Male","35-39",35,2005,2,38,1931823,54598185
"Northeast","Male","35-39",35,2005,3,38,1931823,54598185
"Northeast","Male","35-39",35,2005,4,45,1931823,54598185
"Northeast","Male","35-39",35,2005,5,41,1931823,54598185
"Northeast","Male","35-39",35,2005,6,36,1931823,54598185
"Northeast","Male","35-39",35,2005,7,40,1931823,54598185
"Northeast","Male","35-39",35,2005,8,34,1931823,54598185
"Northeast","Male","35-39",35,2005,9,40,1931823,54598185
"Northeast","Male","35-39",35,2005,10,32,1931823,54598185
"Northeast","Male","35-39",35,2005,11,35,1931823,54598185
"Northeast","Male","35-39",35,2005,12,44,1931823,54598185
"Northeast","Male","40-44",40,2005,1,44,2135952,54598185
"Northeast","Male","40-44",40,2005,2,43,2135952,54598185
"Northeast","Male","40-44",40,2005,3,41,2135952,54598185
"Northeast","Male","40-44",40,2005,4,51,2135952,54598185
"Northeast","Male","40-44",40,2005,5,47,2135952,54598185
"Northeast","Male","40-44",40,2005,6,62,2135952,54598185
"Northeast","Male","40-44",40,2005,7,56,2135952,54598185
"Northeast","Male","40-44",40,2005,8,38,2135952,54598185
"Northeast","Male","40-44",40,2005,9,60,2135952,54598185
"Northeast","Male","40-44",40,2005,10,40,2135952,54598185
"Northeast","Male","40-44",40,2005,11,51,2135952,54598185
"Northeast","Male","40-44",40,2005,12,50,2135952,54598185
"Northeast","Male","45-49",45,2005,1,47,2102729,54598185
"Northeast","Male","45-49",45,2005,2,54,2102729,54598185
"Northeast","Male","45-49",45,2005,3,48,2102729,54598185
"Northeast","Male","45-49",45,2005,4,43,2102729,54598185
"Northeast","Male","45-49",45,2005,5,57,2102729,54598185
"Northeast","Male","45-49",45,2005,6,47,2102729,54598185
"Northeast","Male","45-49",45,2005,7,53,2102729,54598185
"Northeast","Male","45-49",45,2005,8,47,2102729,54598185
"Northeast","Male","45-49",45,2005,9,50,2102729,54598185
"Northeast","Male","45-49",45,2005,10,73,2102729,54598185
"Northeast","Male","45-49",45,2005,11,46,2102729,54598185
"Northeast","Male","45-49",45,2005,12,41,2102729,54598185
"Northeast","Male","50-54",50,2005,1,31,1856327,54598185
"Northeast","Male","50-54",50,2005,2,29,1856327,54598185
"Northeast","Male","50-54",50,2005,3,29,1856327,54598185
"Northeast","Male","50-54",50,2005,4,35,1856327,54598185
"Northeast","Male","50-54",50,2005,5,38,1856327,54598185
"Northeast","Male","50-54",50,2005,6,33,1856327,54598185
"Northeast","Male","50-54",50,2005,7,38,1856327,54598185
"Northeast","Male","50-54",50,2005,8,41,1856327,54598185
"Northeast","Male","50-54",50,2005,9,37,1856327,54598185
"Northeast","Male","50-54",50,2005,10,28,1856327,54598185
"Northeast","Male","50-54",50,2005,11,49,1856327,54598185
"Northeast","Male","50-54",50,2005,12,41,1856327,54598185
"Midwest","Female","15-19",15,2005,1,2,2361751,65806421
"Midwest","Female","15-19",15,2005,2,2,2361751,65806421
"Midwest","Female","15-19",15,2005,3,7,2361751,65806421
"Midwest","Female","15-19",15,2005,4,2,2361751,65806421
"Midwest","Female","15-19",15,2005,5,3,2361751,65806421
"Midwest","Female","15-19",15,2005,6,7,2361751,65806421
"Midwest","Female","15-19",15,2005,7,5,2361751,65806421
"Midwest","Female","15-19",15,2005,8,5,2361751,65806421
"Midwest","Female","15-19",15,2005,9,1,2361751,65806421
"Midwest","Female","15-19",15,2005,10,1,2361751,65806421
"Midwest","Female","15-19",15,2005,11,6,2361751,65806421
"Midwest","Female","15-19",15,2005,12,2,2361751,65806421
"Midwest","Female","20-24",20,2005,1,7,2294184,65806421
"Midwest","Female","20-24",20,2005,2,6,2294184,65806421
"Midwest","Female","20-24",20,2005,3,18,2294184,65806421
"Midwest","Female","20-24",20,2005,4,5,2294184,65806421
"Midwest","Female","20-24",20,2005,5,5,2294184,65806421
"Midwest","Female","20-24",20,2005,6,17,2294184,65806421
"Midwest","Female","20-24",20,2005,7,6,2294184,65806421
"Midwest","Female","20-24",20,2005,8,13,2294184,65806421
"Midwest","Female","20-24",20,2005,9,4,2294184,65806421
"Midwest","Female","20-24",20,2005,10,10,2294184,65806421
"Midwest","Female","20-24",20,2005,11,10,2294184,65806421
"Midwest","Female","20-24",20,2005,12,16,2294184,65806421
"Midwest","Female","25-29",25,2005,1,12,2055685,65806421
"Midwest","Female","25-29",25,2005,2,8,2055685,65806421
"Midwest","Female","25-29",25,2005,3,11,2055685,65806421
"Midwest","Female","25-29",25,2005,4,16,2055685,65806421
"Midwest","Female","25-29",25,2005,5,21,2055685,65806421
"Midwest","Female","25-29",25,2005,6,11,2055685,65806421
"Midwest","Female","25-29",25,2005,7,13,2055685,65806421
"Midwest","Female","25-29",25,2005,8,13,2055685,65806421
"Midwest","Female","25-29",25,2005,9,11,2055685,65806421
"Midwest","Female","25-29",25,2005,10,10,2055685,65806421
"Midwest","Female","25-29",25,2005,11,19,2055685,65806421
"Midwest","Female","25-29",25,2005,12,19,2055685,65806421
"Midwest","Female","30-34",30,2005,1,15,2103604,65806421
"Midwest","Female","30-34",30,2005,2,21,2103604,65806421
"Midwest","Female","30-34",30,2005,3,16,2103604,65806421
"Midwest","Female","30-34",30,2005,4,16,2103604,65806421
"Midwest","Female","30-34",30,2005,5,22,2103604,65806421
"Midwest","Female","30-34",30,2005,6,22,2103604,65806421
"Midwest","Female","30-34",30,2005,7,22,2103604,65806421
"Midwest","Female","30-34",30,2005,8,23,2103604,65806421
"Midwest","Female","30-34",30,2005,9,20,2103604,65806421
"Midwest","Female","30-34",30,2005,10,25,2103604,65806421
"Midwest","Female","30-34",30,2005,11,14,2103604,65806421
"Midwest","Female","30-34",30,2005,12,19,2103604,65806421
"Midwest","Female","35-39",35,2005,1,23,2223338,65806421
"Midwest","Female","35-39",35,2005,2,19,2223338,65806421
"Midwest","Female","35-39",35,2005,3,27,2223338,65806421
"Midwest","Female","35-39",35,2005,4,22,2223338,65806421
"Midwest","Female","35-39",35,2005,5,27,2223338,65806421
"Midwest","Female","35-39",35,2005,6,22,2223338,65806421
"Midwest","Female","35-39",35,2005,7,26,2223338,65806421
"Midwest","Female","35-39",35,2005,8,20,2223338,65806421
"Midwest","Female","35-39",35,2005,9,30,2223338,65806421
"Midwest","Female","35-39",35,2005,10,25,2223338,65806421
"Midwest","Female","35-39",35,2005,11,26,2223338,65806421
"Midwest","Female","35-39",35,2005,12,28,2223338,65806421
"Midwest","Female","40-44",40,2005,1,40,2522073,65806421
"Midwest","Female","40-44",40,2005,2,32,2522073,65806421
"Midwest","Female","40-44",40,2005,3,41,2522073,65806421
"Midwest","Female","40-44",40,2005,4,28,2522073,65806421
"Midwest","Female","40-44",40,2005,5,28,2522073,65806421
"Midwest","Female","40-44",40,2005,6,31,2522073,65806421
"Midwest","Female","40-44",40,2005,7,38,2522073,65806421
"Midwest","Female","40-44",40,2005,8,24,2522073,65806421
"Midwest","Female","40-44",40,2005,9,38,2522073,65806421
"Midwest","Female","40-44",40,2005,10,43,2522073,65806421
"Midwest","Female","40-44",40,2005,11,45,2522073,65806421
"Midwest","Female","40-44",40,2005,12,43,2522073,65806421
"Midwest","Female","45-49",45,2005,1,44,2569230,65806421
"Midwest","Female","45-49",45,2005,2,44,2569230,65806421
"Midwest","Female","45-49",45,2005,3,36,2569230,65806421
"Midwest","Female","45-49",45,2005,4,40,2569230,65806421
"Midwest","Female","45-49",45,2005,5,40,2569230,65806421
"Midwest","Female","45-49",45,2005,6,43,2569230,65806421
"Midwest","Female","45-49",45,2005,7,42,2569230,65806421
"Midwest","Female","45-49",45,2005,8,30,2569230,65806421
"Midwest","Female","45-49",45,2005,9,36,2569230,65806421
"Midwest","Female","45-49",45,2005,10,41,2569230,65806421
"Midwest","Female","45-49",45,2005,11,48,2569230,65806421
"Midwest","Female","45-49",45,2005,12,42,2569230,65806421
"Midwest","Female","50-54",50,2005,1,23,2317829,65806421
"Midwest","Female","50-54",50,2005,2,25,2317829,65806421
"Midwest","Female","50-54",50,2005,3,20,2317829,65806421
"Midwest","Female","50-54",50,2005,4,24,2317829,65806421
"Midwest","Female","50-54",50,2005,5,27,2317829,65806421
"Midwest","Female","50-54",50,2005,6,26,2317829,65806421
"Midwest","Female","50-54",50,2005,7,22,2317829,65806421
"Midwest","Female","50-54",50,2005,8,26,2317829,65806421
"Midwest","Female","50-54",50,2005,9,34,2317829,65806421
"Midwest","Female","50-54",50,2005,10,24,2317829,65806421
"Midwest","Female","50-54",50,2005,11,32,2317829,65806421
"Midwest","Female","50-54",50,2005,12,32,2317829,65806421
"Midwest","Male","15-19",15,2005,1,5,2493753,65806421
"Midwest","Male","15-19",15,2005,2,8,2493753,65806421
"Midwest","Male","15-19",15,2005,3,10,2493753,65806421
"Midwest","Male","15-19",15,2005,4,6,2493753,65806421
"Midwest","Male","15-19",15,2005,5,19,2493753,65806421
"Midwest","Male","15-19",15,2005,6,9,2493753,65806421
"Midwest","Male","15-19",15,2005,7,7,2493753,65806421
"Midwest","Male","15-19",15,2005,8,6,2493753,65806421
"Midwest","Male","15-19",15,2005,9,8,2493753,65806421
"Midwest","Male","15-19",15,2005,10,9,2493753,65806421
"Midwest","Male","15-19",15,2005,11,12,2493753,65806421
"Midwest","Male","15-19",15,2005,12,6,2493753,65806421
"Midwest","Male","20-24",20,2005,1,36,2375404,65806421
"Midwest","Male","20-24",20,2005,2,34,2375404,65806421
"Midwest","Male","20-24",20,2005,3,20,2375404,65806421
"Midwest","Male","20-24",20,2005,4,29,2375404,65806421
"Midwest","Male","20-24",20,2005,5,31,2375404,65806421
"Midwest","Male","20-24",20,2005,6,28,2375404,65806421
"Midwest","Male","20-24",20,2005,7,37,2375404,65806421
"Midwest","Male","20-24",20,2005,8,24,2375404,65806421
"Midwest","Male","20-24",20,2005,9,38,2375404,65806421
"Midwest","Male","20-24",20,2005,10,36,2375404,65806421
"Midwest","Male","20-24",20,2005,11,35,2375404,65806421
"Midwest","Male","20-24",20,2005,12,43,2375404,65806421
"Midwest","Male","25-29",25,2005,1,31,2090857,65806421
"Midwest","Male","25-29",25,2005,2,23,2090857,65806421
"Midwest","Male","25-29",25,2005,3,36,2090857,65806421
"Midwest","Male","25-29",25,2005,4,32,2090857,65806421
"Midwest","Male","25-29",25,2005,5,37,2090857,65806421
"Midwest","Male","25-29",25,2005,6,37,2090857,65806421
"Midwest","Male","25-29",25,2005,7,33,2090857,65806421
"Midwest","Male","25-29",25,2005,8,42,2090857,65806421
"Midwest","Male","25-29",25,2005,9,32,2090857,65806421
"Midwest","Male","25-29",25,2005,10,30,2090857,65806421
"Midwest","Male","25-29",25,2005,11,30,2090857,65806421
"Midwest","Male","25-29",25,2005,12,38,2090857,65806421
"Midwest","Male","30-34",30,2005,1,33,2121433,65806421
"Midwest","Male","30-34",30,2005,2,25,2121433,65806421
"Midwest","Male","30-34",30,2005,3,38,2121433,65806421
"Midwest","Male","30-34",30,2005,4,34,2121433,65806421
"Midwest","Male","30-34",30,2005,5,30,2121433,65806421
"Midwest","Male","30-34",30,2005,6,22,2121433,65806421
"Midwest","Male","30-34",30,2005,7,30,2121433,65806421
"Midwest","Male","30-34",30,2005,8,33,2121433,65806421
"Midwest","Male","30-34",30,2005,9,29,2121433,65806421
"Midwest","Male","30-34",30,2005,10,38,2121433,65806421
"Midwest","Male","30-34",30,2005,11,43,2121433,65806421
"Midwest","Male","30-34",30,2005,12,37,2121433,65806421
"Midwest","Male","35-39",35,2005,1,47,2234944,65806421
"Midwest","Male","35-39",35,2005,2,26,2234944,65806421
"Midwest","Male","35-39",35,2005,3,38,2234944,65806421
"Midwest","Male","35-39",35,2005,4,35,2234944,65806421
"Midwest","Male","35-39",35,2005,5,42,2234944,65806421
"Midwest","Male","35-39",35,2005,6,38,2234944,65806421
"Midwest","Male","35-39",35,2005,7,31,2234944,65806421
"Midwest","Male","35-39",35,2005,8,45,2234944,65806421
"Midwest","Male","35-39",35,2005,9,28,2234944,65806421
"Midwest","Male","35-39",35,2005,10,52,2234944,65806421
"Midwest","Male","35-39",35,2005,11,29,2234944,65806421
"Midwest","Male","35-39",35,2005,12,47,2234944,65806421
