"Region","Sex","Age_Group","Age","Year","Deaths","Months_Observed","Population","Total_Population","Death_Rate"
"Midwest","Female","15-19",15,2005,43,12,2361751,65806421,1.82068304406349e-05
"Midwest","Female","15-19",15,2006,46,12,2375295,66082058,1.93660155896426e-05
"Midwest","Female","15-19",15,2007,55,12,2386817,66359247,2.30432412706965e-05
"Midwest","Female","15-19",15,2008,57,12,2384252,66595597,2.3906868904797e-05
"Midwest","Female","15-19",15,2009,34,12,2367965,66836911,1.43583203299035e-05
"Midwest","Female","15-19",15,2010,48,12,2335541,66974416,2.05519834590786e-05
"Midwest","Female","15-19",15,2011,59,12,2301829,67157800,2.56317910670167e-05
"Midwest","Female","15-19",15,2012,44,12,2262237,67336743,1.94497747141436e-05
"Midwest","Female","15-19",15,2013,54,12,2237741,67560379,2.41314790228181e-05
"Midwest","Female","15-19",15,2014,49,12,2218755,67745167,2.20844572744625e-05
"Midwest","Female","15-19",15,2015,81,12,2212175,67860583,3.66155480466057e-05
"Midwest","Female","15-19",15,2016,72,12,2207632,67987540,3.26141313407307e-05
"Midwest","Female","15-19",15,2017,74,12,2195932,68126781,3.36986755509733e-05
"Midwest","Female","15-19",15,2018,80,12,2184374,68236628,3.66237649779754e-05
"Midwest","Female","15-19",15,2019,78,12,2177369,68329004,3.58230506634383e-05
"Midwest","Female","20-24",20,2005,117,12,2294184,65806421,5.09985249657395e-05
"Midwest","Female","20-24",20,2006,157,12,2281862,66082058,6.88034596307752e-05
"Midwest","Female","20-24",20,2007,119,12,2256818,66359247,5.27291079741477e-05
"Midwest","Female","20-24",20,2008,157,12,2246482,66595597,6.98870500631654e-05
"Midwest","Female","20-24",20,2009,141,12,2248494,66836911,6.2708639649472e-05
"Midwest","Female","20-24",20,2010,182,12,2262176,66974416,8.04535102485395e-05
"Midwest","Female","20-24",20,2011,171,12,2296521,67157800,7.4460455619609e-05
"Midwest","Female","20-24",20,2012,184,12,2342008,67336743,7.85650604096997e-05
"Midwest","Female","20-24",20,2013,215,12,2372045,67560379,9.0639089899222e-05
"Midwest","Female","20-24",20,2014,235,12,2382478,67745167,9.86367974856431e-05
"Midwest","Female","20-24",20,2015,269,12,2364544,67860583,0.000113764006929032
"Midwest","Female","20-24",20,2016,326,12,2328985,67987540,0.000139975139384753
"Midwest","Female","20-24",20,2017,372,12,2291998,68126781,0.000162303806547824
"Midwest","Female","20-24",20,2018,323,12,2265784,68236628,0.000142555512793806
"Midwest","Female","20-24",20,2019,317,12,2243813,68329004,0.000141277370262139
