"Region","Sex","Age","Age.Group.Code","Year","Deaths","n_months","Population","Rate","socio_score","rate_health_care_coverage_ccf","rate_alochol_consum_ccf","Total_Population"
"Midwest","Female",15,"15-19",2005,43,12,2361751,1.82068304406349e-05,111.947659627236,0.0873603396464183,0.0564407079008015,65806421
"Midwest","Female",15,"15-19",2006,46,12,2375295,1.93660155896426e-05,111.947659627236,-0.130272990102444,-0.216239294024554,66082058
"Midwest","Female",15,"15-19",2007,55,12,2386817,2.30432412706965e-05,111.947659627236,0.415423908655235,0.710661473697707,66359247
"Midwest","Female",15,"15-19",2008,57,12,2384252,2.3906868904797e-05,111.947659627236,-0.30187311025587,-0.658884370426434,66595597
"Midwest","Female",15,"15-19",2009,34,12,2367965,1.43583203299035e-05,111.947659627236,0.0422415913203614,-0.509691780053652,66836911
"Midwest","Female",15,"15-19",2010,48,12,2335541,2.05519834590786e-05,111.905955553725,-0.205438974833411,0.367337805312829,66974416
"Midwest","Female",15,"15-19",2011,59,12,2301829,2.56317910670167e-05,111.905955553725,-2.31958889085819,2.29445295600468,67157800
"Midwest","Female",15,"15-19",2012,44,12,2262237,1.94497747141436e-05,111.905955553725,2.42700310203343,-3.73881543906438,67336743
"Midwest","Female",15,"15-19",2013,54,12,2237741,2.41314790228181e-05,111.905955553725,-1.4293339758859,2.55451914183357,67560379
"Midwest","Female",15,"15-19",2014,49,12,2218755,2.20844572744625e-05,111.905955553725,4.44359255765888,-2.6129747268795,67745167
"Midwest","Female",15,"15-19",2015,81,12,2212175,3.66155480466057e-05,112.426161774532,-2.14889932832871,3.09161902370318,67860583
"Midwest","Female",15,"15-19",2016,72,12,2207632,3.26141313407307e-05,112.426161774532,2.39114545508493,-1.38701992834499,67987540
"Midwest","Female",15,"15-19",2017,74,12,2195932,3.36986755509733e-05,112.426161774532,-2.62665092090754,1.09436566451414,68126781
"Midwest","Female",15,"15-19",2018,80,12,2184374,3.66237649779754e-05,112.426161774532,2.0200441433779,-2.43896792378849,68236628
"Midwest","Female",15,"15-19",2019,78,12,2177369,3.58230506634383e-05,112.426161774532,-2.63814895093533,2.19676238780636,68329004
"Midwest","Female",20,"20-24",2005,117,12,2294184,5.09985249657395e-05,111.947659627236,0.0873603396464183,0.0564407079008015,65806421
"Midwest","Female",20,"20-24",2006,157,12,2281862,6.88034596307752e-05,111.947659627236,-0.130272990102444,-0.216239294024554,66082058
"Midwest","Female",20,"20-24",2007,119,12,2256818,5.27291079741477e-05,111.947659627236,0.415423908655235,0.710661473697707,66359247
"Midwest","Female",20,"20-24",2008,157,12,2246482,6.98870500631654e-05,111.947659627236,-0.30187311025587,-0.658884370426434,66595597
"Midwest","Female",20,"20-24",2009,141,12,2248494,6.2708639649472e-05,111.947659627236,0.0422415913203614,-0.509691780053652,66836911
"Midwest","Female",20,"20-24",2010,182,12,2262176,8.04535102485395e-05,111.905955553725,-0.205438974833411,0.367337805312829,66974416
"Midwest","Female",20,"20-24",2011,171,12,2296521,7.4460455619609e-05,111.905955553725,-2.31958889085819,2.29445295600468,67157800
"Midwest","Female",20,"20-24",2012,184,12,2342008,7.85650604096997e-05,111.905955553725,2.42700310203343,-3.73881543906438,67336743
"Midwest","Female",20,"20-24",2013,215,12,2372045,9.0639089899222e-05,111.905955553725,-1.4293339758859,2.55451914183357,67560379
"Midwest","Female",20,"20-24",2014,235,12,2382478,9.86367974856431e-05,111.905955553725,4.44359255765888,-2.6129747268795,67745167
"Midwest","Female",20,"20-24",2015,269,12,2364544,0.000113764006929032,112.426161774532,-2.14889932832871,3.09161902370318,67860583
"Midwest","Female",20,"20-24",2016,326,12,2328985,0.000139975139384753,112.426161774532,2.39114545508493,-1.38701992834499,67987540
"Midwest","Female",20,"20-24",2017,372,12,2291998,0.000162303806547824,112.426161774532,-2.62665092090754,1.09436566451414,68126781
"Midwest","Female",20,"20-24",2018,323,12,2265784,0.000142555512793806,112.426161774532,2.0200441433779,-2.43896792378849,68236628
"Midwest","Female",20,"20-24",2019,317,12,2243813,0.000141277370262139,112.426161774532,-2.63814895093533,2.19676238780636,68329004
"Midwest","Female",25,"25-29",2005,164,12,2055685,7.97787598780942e-05,111.947659627236,0.0873603396464183,0.0564407079008015,65806421
"Midwest","Female",25,"25-29",2006,183,12,2111494,8.66684915988395e-05,111.947659627236,-0.130272990102444,-0.216239294024554,66082058
"Midwest","Female",25,"25-29",2007,190,12,2160008,8.79626371754179e-05,111.947659627236,0.415423908655235,0.710661473697707,66359247
