,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,-9.81232206806158,-9.69849071792616,-9.59590971432851,-9.50877772833141,-9.43877424474764,-9.3838662445262,-9.33822624309522,-9.29340794583986,-9.24046128259306,-9.17230556998955,-9.08556033491197,-8.98120903771803,-8.86388087066339,-8.74002993732359,-8.61568720999328,-8.49461444968489,-8.37755106742348,-8.26288151143214
26,-9.77432009217821,-9.66048874204279,-9.55790773844514,-9.47077575244804,-9.40077226886428,-9.34586426864283,-9.30022426721185,-9.2554059699565,-9.2024593067097,-9.13430359410618,-9.0475583590286,-8.94320706183466,-8.82587889478002,-8.70202796144022,-8.57768523410992,-8.45661247380152,-8.33954909154011,-8.22487953554877
27,-9.73647763113585,-9.62264628100043,-9.52006527740278,-9.43293329140568,-9.36292980782191,-9.30802180760046,-9.26238180616949,-9.21756350891413,-9.16461684566733,-9.09646113306381,-9.00971589798623,-8.9053646007923,-8.78803643373766,-8.66418550039786,-8.53984277306755,-8.41877001275916,-8.30170663049775,-8.18703707450641
28,-9.69886507695034,-9.58503372681492,-9.48245272321727,-9.39532073722017,-9.32531725363641,-9.27040925341496,-9.22476925198399,-9.17995095472863,-9.12700429148183,-9.05884857887831,-8.97210334380073,-8.8677520466068,-8.75042387955215,-8.62657294621235,-8.50223021888205,-8.38115745857365,-8.26409407631225,-8.14942452032091
29,-9.66167487485996,-9.54784352472454,-9.44526252112689,-9.35813053512979,-9.28812705154603,-9.23321905132458,-9.1875790498936,-9.14276075263825,-9.08981408939145,-9.02165837678793,-8.93491314171035,-8.83056184451642,-8.71323367746177,-8.58938274412197,-8.46504001679167,-8.34396725648327,-8.22690387422186,-8.11223431823053
30,-9.62512998340857,-9.51129863327315,-9.4087176296755,-9.3215856436784,-9.25158216009464,-9.19667415987319,-9.15103415844222,-9.10621586118686,-9.05326919794006,-8.98511348533654,-8.89836825025896,-8.79401695306503,-8.67668878601038,-8.55283785267058,-8.42849512534028,-8.30742236503188,-8.19035898277047,-8.07568942677914
31,-9.58945336114004,-9.47562201100462,-9.37304100740697,-9.28590902140987,-9.2159055378261,-9.16099753760465,-9.11535753617368,-9.07053923891832,-9.01759257567152,-8.949436863068,-8.86269162799042,-8.75834033079649,-8.64101216374184,-8.51716123040205,-8.39281850307174,-8.27174574276335,-8.15468236050194,-8.0400128045106
32,-9.55486796659823,-9.44103661646281,-9.33845561286516,-9.25132362686806,-9.18132014328429,-9.12641214306285,-9.08077214163187,-9.03595384437651,-8.98300718112971,-8.91485146852619,-8.82810623344862,-8.72375493625468,-8.60642676920004,-8.48257583586024,-8.35823310852993,-8.23716034822154,-8.12009696596013,-8.00542740996879
33,-9.52163052315743,-9.40779917302201,-9.30521816942436,-9.21808618342726,-9.1480826998435,-9.09317469962205,-9.04753469819108,-9.00271640093572,-8.94976973768892,-8.8816140250854,-8.79486879000782,-8.69051749281389,-8.57318932575924,-8.44933839241944,-8.32499566508914,-8.20392290478074,-8.08685952251934,-7.972189966528
34,-9.49013281351365,-9.37630146337823,-9.27372045978058,-9.18658847378348,-9.11658499019971,-9.06167698997826,-9.01603698854729,-8.97121869129193,-8.91827202804513,-8.85011631544161,-8.76337108036403,-8.6590197831701,-8.54169161611546,-8.41784068277566,-8.29349795544535,-8.17242519513696,-8.05536181287555,-7.94069225688421
