"","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"25",3613.2772894,3857.93577792,4115.01839944,4345.52665088,4129.57489146,4144.96548912,3878.02871859,3918.09048156,4016.03975328,3959.2461735,3961.9861242,4252.5294504,4755.09035274,5306.88371766,5269.17906389,4842.85863069,4756.24133664,5707.2606912,6024.61055112,5388.43110894,4863.30452308
"26",3676.96460346,3786.39649626,4008.77626016,4213.92646206,4229.95381564,4019.5452492,4108.28222346,3958.06051536,4096.43747162,4124.33060973,4153.18228672,4342.43637332,4553.19547563,5271.61511448,5508.1917107,5231.44356679,5084.59632534,5964.5261797,6479.44407473,5744.71463888,5126.19747408
"27",3607.3220002,3780.20226246,3899.9011464,4278.99407706,4228.57437765,4152.53753136,4015.97521232,3937.31688322,3989.24171323,4113.40711825,4291.5912804,4232.24171625,4745.3232294,5467.44102192,5818.36141062,5697.68204544,5385.125768,6531.33734432,6958.79401041,6190.475284,5501.32354508
"28",3570.6207805,3553.6527189,3857.9553578,3983.0791308,4158.56539242,4265.16439496,4226.02722312,4185.47951478,4117.32134775,4283.4949055,4294.9312013,4479.7126114,4749.96958098,5592.74925024,5909.58914249,5831.077554,5758.00996765,6971.74349664,7525.03388568,6592.46888615,5940.96867952
"29",3782.45779044,3802.86080148,3688.05485739,4080.94886166,4186.0632992,4201.89831584,4386.16743241,4268.11386378,4355.86978869,4509.17141719,4353.9809976,4619.32971198,5093.60824956,5422.3747788,5774.65381908,5857.00391628,5992.9591964,7520.37174135,8205.39685992,7378.84856748,6344.0734504
"30",3909.18150693,3590.28820782,3943.9207893,3980.4641423,4116.40821774,4236.45192972,4300.54345028,4422.2356189,4454.33122972,4586.6091672,4610.3271207,4523.20203136,5109.54361858,5685.13462158,5822.83727382,6098.37321972,6185.6104128,7908.51957252,8749.085564,7793.01181186,6975.00811974
"31",4262.09443575,3979.73375324,4063.34011446,4278.2332795,4104.06156466,4191.61544309,4194.35033967,4345.74508775,4649.93574288,4696.40624932,4722.29757888,4939.89376854,5213.36947896,5917.5583884,6160.4214848,5968.22030805,6222.83534224,7942.047039,9189.0658666,8272.74137535,7555.21675396
"32",4713.03518205,4517.88345614,4447.13072473,4241.64322281,4259.2064838,4183.4382999,4321.903817,4389.51220606,4666.7665603,4667.14397652,4822.59037244,5028.0934977,5584.42089804,6125.3673735,6456.54379071,6292.68441825,6263.5652785,8052.15341622,9475.01759574,8854.07392071,8025.83154534
"33",5060.96571459,4801.80473889,4683.95210976,4525.84740984,4343.18522519,4364.00342208,4402.90433556,4407.98444964,4630.08985164,4825.33225268,5064.98474038,5214.5044017,5759.5068125,6246.26672285,6621.29488092,6479.89232118,6679.76816232,8345.09118105,9729.1154696,9094.98879561,8545.36284302
"34",5117.780052,5205.64511584,5227.34170375,5033.64134724,4824.19036469,4519.02500256,4677.39005328,4425.77371968,4785.13006874,4830.94444512,5189.29200765,5548.8905496,5948.94064604,6591.65546088,6878.728449,6547.92699141,6853.33376425,8547.498137,9940.86037626,9066.65741022,8575.1077958
"35",5527.59205186,5497.18489572,5493.2965437,5751.4768707,5309.0786724,4948.13162784,4880.95102887,4759.65770137,4753.9910216,5011.05502552,5260.27770657,5621.6790393,6091.22519492,6780.35326134,7048.63004625,7095.72695608,7004.08498895,8791.45255328,10458.75010444,9127.05875128,8828.22242874
"36",5956.33272027,5606.12740851,5648.89589159,5895.66491556,5834.7879795,5365.27779914,5242.12717212,4999.74220095,5080.92324762,5170.39074575,5278.7142112,5640.09375088,6188.040579,7031.2242187,7266.11801344,7199.79386706,7325.808084,9043.3798092,10778.1999262,9817.77749877,8823.4063452
"37",6639.29296449,6219.31758164,6087.00305862,6046.74927536,6256.35776811,6242.02707664,5829.53848484,5402.9509325,5280.52971706,5410.0531368,5441.11545294,5838.34892265,6225.131328,7001.1329808,7582.61031144,7462.86058986,7695.37187902,9773.776144,10993.19537424,10185.2551808,9512.09274736
"38",7505.51309,6831.7210752,6627.0764819,6552.51294204,6607.12890582,6573.62129358,6561.05579052,6028.5256161,5850.56392351,5621.61751424,5740.34913606,5881.34332859,6445.27529984,7173.0494178,7349.34868416,7835.89209266,8174.24403952,9867.15238026,11784.19651136,10276.3055724,9771.20071152
"39",8426.4868653,7795.57795934,7555.81119552,7256.89157958,6871.50825043,6730.9397307,6999.87196776,6824.40882695,6511.07348808,6160.09028698,6102.16710994,6346.61591487,6467.22025935,7294.11626088,7659.01613576,8023.24938768,8446.35197001,10606.33774068,12389.00392656,11060.7468452,10042.90567323
"40",9219.1463217,8864.6146568,8601.3637361,8079.31154688,7604.60541236,7220.73095751,7448.76495216,7103.51989452,7452.89434111,7007.94841904,6740.26452382,6623.53718556,6889.77008172,7337.94152805,7973.580789,7908.58887563,8644.11412864,10943.12103583,12870.31473288,11526.97160722,10877.54324971
"41",10163.43856916,9658.13558466,9558.33341953,9130.75812011,8477.87492552,8125.9155334,8021.52019963,7591.92877302,7813.22792401,7927.08266644,7452.38477381,7551.16835946,7384.64100132,7789.7585164,7998.58308885,8188.01655472,8451.47261618,11121.7645428,13433.7315476,11987.73302448,11152.64453496
"42",11098.88160048,10754.36847968,10776.4819758,10487.54691378,9556.03508826,9021.52727788,8733.01115791,8194.19054961,8441.57076912,8434.90877112,8664.53690433,8243.21621911,8115.61907563,8094.83278131,8515.15837468,8291.86364007,8791.83281217,10991.55954792,13739.69287953,12296.26530426,11669.9428371
"43",12033.03749061,11700.71668601,11679.31305432,11508.31499868,10929.61859472,10331.85460468,9673.40202496,8878.89696111,8994.61757706,8905.42904376,9220.60567401,9241.76095584,8885.42648124,9195.43175172,8902.14584688,8902.0132677,8931.78618574,11542.7164575,14008.9661748,12464.78654682,12167.24261703
"44",12897.97125216,12452.29903128,12771.78995468,12343.73204016,12165.80836147,11815.84157796,11286.1257984,10250.25553536,9710.82644958,9514.54290785,9672.243981,10006.00427223,10398.93032332,10097.2707836,9505.36415961,9476.239834,9533.92751421,11816.76142248,14487.71555652,12866.6989034,12491.37989396
"45",13680.07501644,13604.74793605,13779.88981137,13544.05597636,13073.3563608,12773.34085104,12570.10372134,11626.65336536,11062.0757647,10431.56275416,10346.26930455,10556.30820792,11027.08923642,11488.73520714,11014.54093032,10509.60086384,10165.2725398,12750.1101975,14686.6324647,13168.76292525,12637.78974036
"46",14981.40986366,14816.40127336,14710.74800805,14527.22273358,14477.80411791,14116.85529076,13916.6024482,13492.02935502,12733.64290144,11836.3483392,11588.2614757,11366.60142728,11797.62898808,12361.69556947,12544.67748056,11923.8907224,11200.82071392,13429.86515739,16037.61343807,13343.54494,12937.95115795
"47",15592.93493058,15808.46006655,15784.58470325,15784.983986,15638.07388535,15616.95392915,15342.7197209,14718.10419674,14488.7828277,13723.52259114,13107.86549991,12558.98524916,12292.54702775,12735.94206588,13537.65179283,13243.6023027,12576.74826369,14759.88176264,16606.723165,14614.9796702,13097.5280384
"48",16585.7916848,16363.072467,16969.40228963,17187.51412625,16724.62567179,16694.3618435,16648.83022005,15926.21416364,15872.52972075,15571.1687704,14807.69783138,14235.14663998,13734.601082,13760.97372911,13879.90086452,14188.97538882,14383.36383858,16687.30695004,18354.89268592,15301.66533496,13781.95378755
"49",17357.06886946,17339.412687,18140.78807996,18229.89344708,17840.31271319,18214.18334932,17934.92026396,17815.21231464,17527.7124204,16926.69498808,16989.80201928,16314.62714564,15529.1159123,15243.8610783,14725.0374053,15006.36683994,15405.82920207,18804.83764719,20461.00148478,16712.48990185,14815.39128837
"50",18064.54717683,18381.43609633,19176.32629134,19175.11963045,19357.3142588,19585.54804934,19357.55841675,19260.59990211,19338.75465582,18896.30160264,18589.40672372,18277.7512939,17820.6595002,16995.67223454,16425.7044272,15834.22303584,16159.81530696,20158.15395291,23483.53595405,18715.61448896,16017.7670232
"51",18860.81678235,19104.83492736,19934.09399716,20225.25359002,20629.63499598,20747.14873335,20908.10755656,20264.08366075,20740.07468232,20900.54903651,20535.82289524,20427.97791408,20022.0726128,19225.8847758,18506.311252,17540.41571968,17203.10761596,20985.1059167,24511.13249964,21027.2576884,18099.49870953
"52",19483.72911813,19987.24105124,21213.47853534,21316.95819795,21351.79219842,21813.63438324,22696.21883792,22237.07860928,22403.90640103,22322.84459872,22225.1194242,21940.28689125,21950.14400712,21807.36778395,20729.99257413,19508.96257407,18775.94458038,22397.25576608,25783.83309103,22448.7443136,20473.44064269
"53",20244.82472256,20647.634343,21601.09803771,22101.0913854,22458.74646112,22875.89342976,23591.6916144,23355.72869245,23708.64859712,23536.06976772,23973.0809184,24353.18261307,23995.66093008,23895.20474502,23286.50087709,22110.20307378,20601.73149129,24228.30205568,26942.39309706,23232.80330462,22031.3942031
