"","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"25",3843912.01,4006163.84,4164998.38,4243678.37,4252909.26,4246890.87,4210671.79,4268072.42,4263311.84,4257253.95,4330039.48,4466942.7,4621079.06,4651081.26,4593878.87,4496618.97,4420298.64,4373379.84,4324917.84,4342007.34,4389264.01
"26",3786781.26,3836267.98,3992805.04,4143487.18,4213101.41,4213359.8,4200697.57,4175169.32,4258251.01,4265078.19,4255309.72,4325135.83,4459545.03,4608055.17,4628732.53,4560979.57,4483771.01,4444505.35,4404788.63,4365284.68,4403949.72
"27",3718888.66,3814533.06,3868949.55,4029184.63,4182566.15,4254649.11,4254211.03,4229126.62,4185982.91,4262598.05,4270240.08,4262076.25,4333628.52,4466863.58,4610429.01,4624741.92,4583085.76,4538802.88,4486649.91,4443988,4425843.56
"28",3758548.19,3725002.85,3819757.78,3870825.2,4025716.74,4173350.68,4242999.22,4244908.23,4222893.69,4179019.42,4252407.13,4258281.95,4248631.11,4315392.94,4439961.79,4573394.16,4617489.95,4623172.08,4577271.22,4524686.95,4504146.08
"29",3701035.02,3750355.82,3714053.23,3803307.42,3847484.65,3994199.92,4133993.81,4209185.27,4233109.61,4226027.57,4186520.19,4265309.06,4276749.16,4269586.44,4335325.69,4457385.02,4617071.8,4685589.87,4667461.24,4614664.52,4583868.1
"30",3843836.29,3763404.83,3829049.31,3805415.05,3909219.58,3966715.29,4123243.96,4231804.42,4246264.28,4246860.34,4249149.42,4219404.88,4308215.53,4326586.47,4322819.06,4390477.48,4531582.72,4696270.53,4729235.44,4703084.98,4671807.18
"31",3964739.01,3819322.22,3731258.14,3786047.15,3751427.39,3841993.99,3894475.71,4072863.25,4223374.88,4261711.66,4269708.48,4280670.51,4259288.79,4354347.6,4375299.35,4372322.57,4457618.44,4604085.24,4736631.89,4762660.55,4757693.17
"32",4265190.21,4012329.89,3877184.59,3797352.93,3861474.6,3834498.9,3929003.47,3958081.34,4100849.35,4239004.52,4282939.94,4297515.81,4315626.66,4298503.42,4395196.59,4415918.89,4426547.9,4516070.34,4637796.18,4767945.03,4814536.02
"33",4249341.49,4275872.43,4024013.84,3888185.06,3806472.59,3868797.36,3841975.86,3939217.56,3970917.54,4117177.69,4259869.42,4309507.77,4330456.25,4352799.11,4336145.96,4432210.89,4465085.67,4479383.35,4546315.64,4666489.89,4817002.73
"34",4154042.25,4259938.72,4288221.25,4036600.92,3899911.37,3816744.09,3878432.88,3851848.32,3951387.34,3985927.76,4134894.03,4281551.35,4335962.57,4359560.49,4381355.7,4362376.41,4464712.55,4498683.23,4500163.14,4572192.34,4711597.69
"35",4037685.94,4177192.17,4288287.7,4321169.7,4071379.35,3936461.12,3852368.61,3904559.23,3861893.6,3951936.14,3982042.17,4127517.65,4271546.42,4321448.86,4337618.49,4350537.68,4336894.73,4458140.24,4506139.64,4522823.96,4612446.41
"36",4088080.11,4041908.73,4181270.09,4290876.94,4322065.17,4070772.23,3935530.91,3854851.35,3914424.69,3878762.75,3974935.4,4011446.48,4164226.5,4313634.49,4366657.46,4384770.93,4413137.4,4400671.44,4489046.2,4526407.33,4559899.92
"37",4199426.29,4086279.62,4039152.66,4175931.82,4282243.51,4310792.18,4059567.19,3929418.86,3857216.74,3920328.36,3883736.94,3979787.95,4016213.76,4167341.06,4313202.68,4361695.26,4394844.02,4442625.52,4420263.52,4506750.08,4559967.76
"38",4415007.7,4206724.8,4095844.55,4049760.78,4187027.19,4293678.18,4322171.14,4067831.05,3934474.73,3861001.04,3923683.62,3887206.43,3983482.88,4018515.08,4166297.44,4307802.14,4375933.64,4432683.01,4465402.24,4435177.2,4536304.88
