"","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"25",0.00094,0.000963,0.000988,0.001024,0.000971,0.000976,0.000921,0.000918,0.000942,0.00093,0.000915,0.000952,0.001029,0.001141,0.001147,0.001077,0.001076,0.001305,0.001393,0.001241,0.001108
"26",0.000971,0.000987,0.001004,0.001017,0.001004,0.000954,0.000978,0.000948,0.000962,0.000967,0.000976,0.001004,0.001021,0.001144,0.00119,0.001147,0.001134,0.001342,0.001471,0.001316,0.001164
"27",0.00097,0.000991,0.001008,0.001062,0.001011,0.000976,0.000944,0.000931,0.000953,0.000965,0.001005,0.000993,0.001095,0.001224,0.001262,0.001232,0.001175,0.001439,0.001551,0.001393,0.001243
"28",0.00095,0.000954,0.00101,0.001029,0.001033,0.001022,0.000996,0.000986,0.000975,0.001025,0.00101,0.001052,0.001118,0.001296,0.001331,0.001275,0.001247,0.001508,0.001644,0.001457,0.001319
"29",0.001022,0.001014,0.000993,0.001073,0.001088,0.001052,0.001061,0.001014,0.001029,0.001067,0.00104,0.001083,0.001191,0.00127,0.001332,0.001314,0.001298,0.001605,0.001758,0.001599,0.001384
"30",0.001017,0.000954,0.00103,0.001046,0.001053,0.001068,0.001043,0.001045,0.001049,0.00108,0.001085,0.001072,0.001186,0.001314,0.001347,0.001389,0.001365,0.001684,0.00185,0.001657,0.001493
"31",0.001075,0.001042,0.001089,0.00113,0.001094,0.001091,0.001077,0.001067,0.001101,0.001102,0.001106,0.001154,0.001224,0.001359,0.001408,0.001365,0.001396,0.001725,0.00194,0.001737,0.001588
"32",0.001105,0.001126,0.001147,0.001117,0.001103,0.001091,0.0011,0.001109,0.001138,0.001101,0.001126,0.00117,0.001294,0.001425,0.001469,0.001425,0.001415,0.001783,0.002043,0.001857,0.001667
"33",0.001191,0.001123,0.001164,0.001164,0.001141,0.001128,0.001146,0.001119,0.001166,0.001172,0.001189,0.00121,0.00133,0.001435,0.001527,0.001462,0.001496,0.001863,0.00214,0.001949,0.001774
"34",0.001232,0.001222,0.001219,0.001247,0.001237,0.001184,0.001206,0.001149,0.001211,0.001212,0.001255,0.001296,0.001372,0.001512,0.00157,0.001501,0.001535,0.0019,0.002209,0.001983,0.00182
"35",0.001369,0.001316,0.001281,0.001331,0.001304,0.001257,0.001267,0.001219,0.001231,0.001268,0.001321,0.001362,0.001426,0.001569,0.001625,0.001631,0.001615,0.001972,0.002321,0.002018,0.001914
"36",0.001457,0.001387,0.001351,0.001374,0.00135,0.001318,0.001332,0.001297,0.001298,0.001333,0.001328,0.001406,0.001486,0.00163,0.001664,0.001642,0.00166,0.002055,0.002401,0.002169,0.001935
"37",0.001581,0.001522,0.001507,0.001448,0.001461,0.001448,0.001436,0.001375,0.001369,0.00138,0.001401,0.001467,0.00155,0.00168,0.001758,0.001711,0.001751,0.0022,0.002487,0.00226,0.002086
"38",0.0017,0.001624,0.001618,0.001618,0.001578,0.001531,0.001518,0.001482,0.001487,0.001456,0.001463,0.001513,0.001618,0.001785,0.001764,0.001819,0.001868,0.002226,0.002639,0.002317,0.002154
"39",0.001862,0.001762,0.001791,0.001766,0.001691,0.001602,0.001624,0.001573,0.001596,0.001561,0.001574,0.001609,0.001653,0.001818,0.001892,0.001912,0.001941,0.002397,0.002781,0.00247,0.002251
"40",0.00203,0.00196,0.001945,0.001916,0.001852,0.001779,0.001776,0.001652,0.001723,0.001726,0.001721,0.001726,0.001769,0.001905,0.002025,0.001997,0.002102,0.002543,0.002916,0.002582,0.002417
"41",0.002228,0.002122,0.002107,0.002057,0.002002,0.00197,0.001967,0.001803,0.001811,0.001823,0.001819,0.001903,0.001892,0.00196,0.002029,0.002027,0.002071,0.002636,0.003094,0.002712,0.002488
"42",0.002391,0.002359,0.002369,0.002313,0.002154,0.002132,0.002119,0.002011,0.002007,0.001959,0.001999,0.002021,0.002057,0.002089,0.002162,0.002127,0.002193,0.002694,0.003253,0.002829,0.002631
"43",0.002609,0.002519,0.002559,0.002526,0.002406,0.002324,0.002281,0.002151,0.002206,0.002116,0.002139,0.002128,0.002172,0.002322,0.002288,0.002251,0.002273,0.00285,0.00342,0.002949,0.002791
"44",0.002832,0.002712,0.002764,0.002721,0.002689,0.002622,0.00256,0.002432,0.002358,0.002335,0.0023,0.002323,0.002396,0.00247,0.002403,0.00244,0.002409,0.002996,0.003572,0.00314,0.002948
"45",0.003049,0.002995,0.003009,0.002939,0.00289,0.002832,0.002799,0.002647,0.002635,0.002546,0.002557,0.002532,0.002586,0.002679,0.002734,0.002704,0.00266,0.00325,0.003734,0.003247,0.003078
"46",0.003371,0.003298,0.003231,0.003162,0.003129,0.003106,0.00307,0.002994,0.002896,0.002816,0.002819,0.002794,0.002809,0.002873,0.002894,0.002922,0.002832,0.003457,0.004067,0.003394,0.003185
"47",0.003591,0.003555,0.003509,0.00346,0.003395,0.003365,0.003365,0.003241,0.003217,0.003126,0.003123,0.003059,0.003025,0.003036,0.003151,0.003061,0.003081,0.003722,0.004274,0.00371,0.003328
"48",0.003887,0.00378,0.003829,0.003835,0.003681,0.003641,0.003605,0.003508,0.003505,0.003464,0.003379,0.003397,0.00335,0.003391,0.003314,0.003309,0.003319,0.004066,0.004622,0.003944,0.003497
"49",0.004178,0.004062,0.004186,0.004106,0.003971,0.003997,0.003898,0.003848,0.00386,0.003739,0.003777,0.003716,0.003694,0.003702,0.00361,0.003563,0.003561,0.004297,0.004974,0.004217,0.003819
"50",0.004521,0.004447,0.004518,0.004453,0.004391,0.004394,0.004285,0.004221,0.004206,0.004193,0.004148,0.004115,0.004122,0.004119,0.004078,0.003981,0.003932,0.004737,0.005405,0.004562,0.004045
